species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,0.0,off,hard_extinction,0.0331668456102516,False,False,0.0007625327247636
All NG,0.0,off,no_extinction_control,0.3700523408844942,False,False,0.0007626858316628
All NG,0.0,on,hard_extinction,0.0090810527051148,False,False,0.0009477999751835
All NG,0.0,on,no_extinction_control,0.5615265351506906,False,False,0.000952625159849
All NG,0.01,off,hard_extinction,0.0320171065989631,False,False,0.0008206301444383
All NG,0.01,off,no_extinction_control,0.5432127048166748,False,False,0.0008214353247387
All NG,0.01,on,hard_extinction,0.0090590550316234,False,False,0.000964927660173
All NG,0.01,on,no_extinction_control,0.5449237398078868,False,False,0.0009701332080232
All NG,0.0109854114198755,off,hard_extinction,0.0319336230070015,False,False,0.0008271079096289
All NG,0.0109854114198755,off,no_extinction_control,0.5329199283093331,False,False,0.0008280521140343
All NG,0.0109854114198755,on,hard_extinction,0.0090650848853233,False,False,0.0009675271145158
All NG,0.0109854114198755,on,no_extinction_control,0.5345012563287206,False,False,0.0009727759366567
All NG,0.0120679264063932,off,hard_extinction,0.0318457854286702,False,False,0.0008343337203255
All NG,0.0120679264063932,off,no_extinction_control,0.5202087603721903,False,False,0.0008354560904071
All NG,0.0120679264063932,on,hard_extinction,0.0090744869240535,False,False,0.0009706912242689
All NG,0.0120679264063932,on,no_extinction_control,0.5216288525567414,False,False,0.0009759892705865
All NG,0.013257113655901,off,hard_extinction,0.0317519786852273,False,False,0.0008423525748849
All NG,0.013257113655901,off,no_extinction_control,0.5662211452209611,False,False,0.0008437105040926
All NG,0.013257113655901,on,hard_extinction,0.0090883558559673,False,False,0.0009745620107892
All NG,0.013257113655901,on,no_extinction_control,0.512731487306576,False,False,0.000979919745928
All NG,0.0145634847750124,off,hard_extinction,0.0316490380164347,False,False,0.0008511735115883
All NG,0.0145634847750124,off,no_extinction_control,0.6282969601833752,False,False,0.0008528532378449
All NG,0.0145634847750124,on,hard_extinction,0.0091082023001825,False,False,0.0009793306697618
All NG,0.0145634847750124,on,no_extinction_control,0.5104824979179341,False,False,0.000984756841532
All NG,0.0159985871960605,off,hard_extinction,0.0315321294959605,False,False,0.0008607634726861
All NG,0.0159985871960605,off,no_extinction_control,0.6592907647879951,False,False,0.000862879372618
All NG,0.0159985871960605,on,hard_extinction,0.0091359436926312,False,False,0.0009852378169666
All NG,0.0159985871960605,on,no_extinction_control,0.5079349376326538,False,False,0.0009907472408826
All NG,0.0175751062485479,off,hard_extinction,0.0313927990432691,False,False,0.0008709886170582
All NG,0.0175751062485479,off,no_extinction_control,0.6661985024476049,False,False,0.000873730941744
All NG,0.0175751062485479,on,hard_extinction,0.0091739158152028,False,False,0.0009925766428538
All NG,0.0175751062485479,on,no_extinction_control,0.5050382066316876,False,False,0.0009982142729733
All NG,0.0193069772888324,off,hard_extinction,0.0312209182020284,False,False,0.0008816578699725
All NG,0.0193069772888324,off,no_extinction_control,0.6580386358704118,False,False,0.000885322030286
All NG,0.0193069772888324,on,hard_extinction,0.0092254451952284,False,False,0.0010017571929249
All NG,0.0193069772888324,on,no_extinction_control,0.501729439115846,False,False,0.001007611320919
All NG,0.0212095088792019,off,hard_extinction,0.0310024092873324,False,False,0.0008924505571632
All NG,0.0212095088792019,off,no_extinction_control,0.6409628390053665,False,False,0.0008976694479954
All NG,0.0212095088792019,on,hard_extinction,0.0092940127966532,False,False,0.0010132186482648
All NG,0.0212095088792019,on,no_extinction_control,0.4979332623306813,False,False,0.0010196119314065
All NG,0.0232995181051537,off,hard_extinction,0.0307255037108147,False,False,0.0009030845654311
All NG,0.0232995181051537,off,no_extinction_control,0.6178025711643826,False,False,0.0009113311763041
All NG,0.0232995181051537,on,hard_extinction,0.0093841039784448,False,False,0.0010275250304529
All NG,0.0232995181051537,on,no_extinction_control,0.4935561879396815,False,False,0.0010355247366122
