species,ratio,lag_mode,extinction_mode,max_endpoint_log10_difference,both_initial_conditions_converged,survival_class_differs,relative_composition_l1
All NG,0.0,off,hard_extinction,4.6713332302328325e-06,False,False,3.4646883277835577e-06
All NG,0.0,off,no_extinction_control,0.0196170885967408,False,False,7.580349078937528e-06
All NG,0.0,on,hard_extinction,0.0004673070936946,True,False,4.343699430907864e-05
All NG,0.0,on,no_extinction_control,0.0010105210651119,True,False,4.3414427467219135e-05
All NG,0.01,off,hard_extinction,0.016205730467004,False,False,1.3674390042649442e-05
All NG,0.01,off,no_extinction_control,0.0162057147579384,False,False,1.3674372760827285e-05
All NG,0.01,on,hard_extinction,8.512041166253148e-05,True,False,8.140664732814162e-06
All NG,0.01,on,no_extinction_control,0.0012894325681926,True,False,8.142536184568597e-06
All NG,0.0109854114198755,off,hard_extinction,0.015879555582829,False,False,1.4420845935105237e-05
All NG,0.0109854114198755,off,no_extinction_control,0.0158795321724904,False,False,1.4420819298127269e-05
All NG,0.0109854114198755,on,hard_extinction,8.413683949193285e-05,True,False,8.068516765708314e-06
All NG,0.0109854114198755,on,no_extinction_control,0.0013208538291671,True,False,8.070321064981837e-06
All NG,0.0120679264063932,off,hard_extinction,0.0155222618015673,False,False,1.5269613072572193e-05
All NG,0.0120679264063932,off,no_extinction_control,0.0155221979287514,False,False,1.526954341270648e-05
All NG,0.0120679264063932,on,hard_extinction,8.309552781726737e-05,True,False,7.99245947047042e-06
All NG,0.0120679264063932,on,no_extinction_control,0.0013565266630131,True,False,7.994187543511914e-06
All NG,0.013257113655901,off,hard_extinction,0.0151301927852216,False,False,1.6234705933495288e-05
All NG,0.013257113655901,off,no_extinction_control,0.0151301060835637,False,False,1.6234603303791074e-05
All NG,0.013257113655901,on,hard_extinction,8.199919163920377e-05,True,False,7.912836102351092e-06
All NG,0.013257113655901,on,no_extinction_control,0.0013971812460535,True,False,7.914500381199582e-06
All NG,0.0145634847750124,off,hard_extinction,0.0146988529969283,False,False,1.7330697670652124e-05
All NG,0.0145634847750124,off,no_extinction_control,0.0146988389474902,False,False,1.7330669379070915e-05
All NG,0.0145634847750124,on,hard_extinction,8.085335725405152e-05,True,False,7.830265352221435e-06
All NG,0.0145634847750124,on,no_extinction_control,0.0014437122854573,True,False,7.831837717921416e-06
All NG,0.0159985871960605,off,hard_extinction,0.0142230121025019,False,False,1.8571979673266117e-05
All NG,0.0159985871960605,off,no_extinction_control,0.0142229911031499,False,False,1.857193920065973e-05
All NG,0.0159985871960605,on,hard_extinction,7.966592085906221e-05,True,False,7.745603383096933e-06
All NG,0.0159985871960605,on,no_extinction_control,0.001497224497001,True,False,7.747044699343477e-06
All NG,0.0175751062485479,off,hard_extinction,0.0136960906436884,False,False,1.99703032075988e-05
All NG,0.0175751062485479,off,no_extinction_control,0.0136961649998061,False,False,1.9970393933261676e-05
All NG,0.0175751062485479,on,hard_extinction,7.8446801540899e-05,True,False,7.659915426623531e-06
All NG,0.0175751062485479,on,no_extinction_control,0.0015590882046438,True,False,7.661266611817635e-06
All NG,0.0193069772888324,off,hard_extinction,0.013111468653725,False,False,2.153359672778807e-05
All NG,0.0193069772888324,off,no_extinction_control,0.0131113687103376,False,False,2.1533407802675375e-05
All NG,0.0193069772888324,on,hard_extinction,7.72122306207379e-05,True,False,7.57490272790956e-06
All NG,0.0193069772888324,on,no_extinction_control,0.0016310215292172,True,False,7.57606080902209e-06
All NG,0.0212095088792019,off,hard_extinction,0.012462029105531,False,False,2.3260985314366167e-05
All NG,0.0212095088792019,off,no_extinction_control,0.0124620065760812,False,False,2.326090818073439e-05
All NG,0.0212095088792019,on,hard_extinction,7.597682127369332e-05,True,False,7.49213902505666e-06
All NG,0.0212095088792019,on,no_extinction_control,0.0017151468017306,True,False,7.493174437173599e-06
All NG,0.0232995181051537,off,hard_extinction,0.0117433799743236,False,False,2.5142300660783567e-05
All NG,0.0232995181051537,off,no_extinction_control,0.0117433554788646,False,False,2.5142197393740853e-05
All NG,0.0232995181051537,on,hard_extinction,7.475992768601891e-05,True,False,7.413702686734705e-06
All NG,0.0232995181051537,on,no_extinction_control,7.202054739252617e-06,True,False,6.921675848098908e-07
All NG,0.0255954792269953,off,hard_extinction,0.0109540091235467,False,False,2.715203419348768e-05
All NG,0.0255954792269953,off,no_extinction_control,0.0109539925086599,False,False,2.7151914789811814e-05
All NG,0.0255954792269953,on,hard_extinction,6.267077282284816e-05,True,False,6.253061291521672e-06
All NG,0.0255954792269953,on,no_extinction_control,0.0046639719733914,True,False,5.752313315629552e-07
All NG,0.0281176869797423,off,hard_extinction,0.0100966606200492,False,False,2.924427694367892e-05
All NG,0.0281176869797423,off,no_extinction_control,0.0242193090769848,False,False,2.924381019154952e-05
All NG,0.0281176869797423,on,hard_extinction,1.0953691521597976e-05,True,False,1.100204135278532e-06
All NG,0.0281176869797423,on,no_extinction_control,0.0392972828244353,False,False,9.004493378523171e-09
All NG,0.0308884359647748,off,hard_extinction,0.0091778992017252,False,False,3.134217848206437e-05
All NG,0.0308884359647748,off,no_extinction_control,0.1358474557093529,False,False,3.134165446460529e-05
All NG,0.0308884359647748,on,hard_extinction,7.138261042349825e-05,True,False,7.221661280507746e-06
All NG,0.0308884359647748,on,no_extinction_control,0.1295167060705608,False,False,5.738879448235222e-08
All NG,0.0339322177189532,off,hard_extinction,0.0082039950201173,False,False,3.330533698684866e-05
All NG,0.0339322177189532,off,no_extinction_control,0.0255213706767909,False,False,3.681893488060928e-05
All NG,0.0339322177189532,on,hard_extinction,1.2221424558811478e-05,True,False,1.2456756303229344e-06
All NG,0.0339322177189532,on,no_extinction_control,0.019193742895462,False,False,4.547171366997201e-06
All NG,0.0372759372031494,off,hard_extinction,0.0072263579834763,False,False,3.501412019737808e-05
All NG,0.0372759372031494,off,no_extinction_control,0.0113205545922063,False,False,3.501283379467182e-05
All NG,0.0372759372031494,on,hard_extinction,0.0003221003676285,True,False,2.751618427104872e-05
All NG,0.0372759372031494,on,no_extinction_control,0.0022867691148285,True,False,2.7504128226536207e-05
All NG,0.0409491506238042,off,hard_extinction,0.0062393993643601,False,False,3.625165237232993e-05
All NG,0.0409491506238042,off,no_extinction_control,0.1017881553273856,False,False,3.625131476237341e-05
All NG,0.0409491506238042,on,hard_extinction,0.0004271804290127,True,False,4.421178391763539e-05
All NG,0.0409491506238042,on,no_extinction_control,0.0006434014459593,True,False,4.421980676333747e-05
All NG,0.0449843266896944,off,hard_extinction,0.0052633726080326,False,False,3.680212772450074e-05
All NG,0.0449843266896944,off,no_extinction_control,0.1571106076320525,False,False,3.68052318040536e-05
