run_id,community,ratio_index,ratio,lag_mode,initial_condition,initial_ng_per_species,initial_total_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_total_ng,cycle_start_bt,cycle_end_total_ng,cycle_end_bt,next_start_total_ng,next_start_bt,cycle_map_residual_log10,cycle_start_Col,cycle_end_Col,next_start_Col,cycle_start_Cs,cycle_end_Cs,next_start_Cs,cycle_start_Et,cycle_end_Et,next_start_Et,cycle_start_Eu.c,cycle_end_Eu.c,next_start_Eu.c,cycle_start_Eu.l,cycle_end_Eu.l,next_start_Eu.l,cycle_start_Im,cycle_end_Im,next_start_Im,cycle_start_Ld,cycle_end_Ld,next_start_Ld,cycle_start_Lsp,cycle_end_Lsp,next_start_Lsp,cycle_start_Mi,cycle_end_Mi,next_start_Mi,cycle_start_Va,cycle_end_Va,next_start_Va,cycle_start_Bt,cycle_end_Bt,next_start_Bt,converged_last_n,n_ng_above_threshold,final_bt_above_threshold,surviving_ng_species,final_survival_class
0,Bt_plus_all_10_NG,0,0.0,off,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,100,0.0034525006353133794,0.0019130364893907895,0.6905008244242966,0.3826072978781579,0.0034525041221214825,0.0019130364893907895,4.670370525872158e-06,0.0,0.0,0.0,4.641237815435223e-05,0.009282475630870446,4.641237815435223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0009197222159311779,0.18394642132172181,0.000919732106608609,0.0,0.0,0.0,0.00037173309327011295,0.07434661865402259,0.00037173309327011295,0.0003952530846621441,0.07905061693242882,0.0003952530846621441,0.0012786063087350005,0.2557203676386147,0.0012786018381930736,0.00044077355456059156,0.08815432424663816,0.0004407716212331908,0.0019130364893907895,0.3826072978781579,0.0019130364893907895,False,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
1,Bt_plus_all_10_NG,0,0.0,off,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,100,0.0034527498959405064,0.0019130364893907895,0.6905478149055895,0.3826072978781579,0.003452739074527947,0.0019130364893907895,0.01956737556138144,3.385291368569309e-32,3.569961905246166e-30,1.784980952623083e-32,4.641237815435223e-05,0.009282475630870446,4.641237815435223e-05,6.778005232025373e-72,2.838693155665303e-70,1.4193465778326515e-72,4.604508764235762e-07,8.803307672865994e-05,4.401653836432997e-07,0.0009196159577953277,0.18392428525027582,0.000919621426251379,1.0606380777188102e-60,5.776656826568033e-59,2.8883284132840164e-61,0.00037173309327011295,0.07434661865402259,0.00037173309327011295,0.0003952530846621441,0.07905061693242882,0.0003952530846621441,0.0012785004908387923,0.2557009203240359,0.0012785046016201796,0.00044077444034335353,0.08815486503722722,0.0004407743251861361,0.0019130364893907895,0.3826072978781579,0.0019130364893907895,False,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
2,Bt_plus_all_10_NG,0,0.0,off,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,100,0.0034522795131078803,0.0019130364893907895,0.6905001269817422,0.3826072978781579,0.0034525006349087114,0.0019130364893907895,5.288744974096815e-05,0.0,0.0,0.0,4.641237815435223e-05,0.009282475630870446,4.641237815435223e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00091961021891479,0.18394444277848657,0.0009197222138924328,0.0,0.0,0.0,0.00037173309327011295,0.07434661865402259,0.00037173309327011295,0.0003952530846621441,0.07905061693242882,0.0003952530846621441,0.001278496176910022,0.25572126203429324,0.0012786063101714663,0.0004407745611964591,0.08815471095164064,0.0004407735547582032,0.0019130364893907895,0.3826072978781579,0.0019130364893907895,False,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
3,Bt_plus_all_10_NG,0,0.0,off,ng_high_bt_low,0.1,1.0,0.001,no_extinction_control,False,100,0.003452761251429281,0.0019130364893907895,0.6905499848068115,0.3826072978781579,0.003452749924034058,0.0019130364893907895,0.019578179718606314,7.936908777153969e-32,8.369873932543751e-30,4.1849369662718757e-32,4.641237815435223e-05,0.009282475630870446,4.641237815435223e-05,4.368339560547786e-71,1.8295022189653278e-69,9.14751109482664e-72,4.817383214004192e-07,9.210070813971671e-05,4.6050354069858355e-07,0.00091961021891479,0.1839231887195949,0.0009196159435979745,4.6593010341936756e-60,2.5376406609970833e-58,1.2688203304985416e-60,0.00037173309327011295,0.07434661865402259,0.00037173309327011295,0.0003952530846621441,0.07905061693242882,0.0003952530846621441,0.001278496176910022,0.2557000960332889,0.0012785004801664445,0.0004407745611964591,0.08815488812846616,0.0004407744406423308,0.0019130364893907895,0.3826072978781579,0.0019130364893907895,False,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
4,Bt_plus_all_10_NG,0,0.0,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,60,0.0031106231318240914,0.0019130364893907878,0.6221226835261635,0.38260729787815756,0.003110613417630817,0.0019130364893907878,6.289799656089556e-05,0.0,0.0,0.0,4.59782022814898e-05,0.00919564045629749,4.597820228148745e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010283924740830167,0.020564870897043966,0.00010282435448521983,0.0,0.0,0.0,0.00036327492783173735,0.07265498556634749,0.00036327492783173746,0.000354718689862521,0.07094373797250421,0.000354718689862521,0.0017978436240196035,0.35956977660145273,0.0017978488830072636,0.0004459684404204381,0.08919367203251757,0.0004459683601625879,0.0019130364893907878,0.38260729787815756,0.0019130364893907878,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
5,Bt_plus_all_10_NG,0,0.0,on,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,60,0.0031106230853956258,0.0019130364893907878,0.6221226752169758,0.38260729787815756,0.0031106133760848793,0.0019130364893907878,6.286642014474708e-05,2.6607072475146126e-24,2.480173943144502e-22,1.2400869715722509e-24,4.59782022814898e-05,0.00919564045629749,4.597820228148745e-05,6.3776968312814325e-56,1.7360376352309398e-54,8.6801881761547e-57,1.954554302622816e-17,2.329669858048067e-15,1.1648349290240335e-17,0.00010283917622786633,0.020564858158235545,0.00010282429079117772,4.191726087270056e-38,2.2829807477131263e-36,1.1414903738565631e-38,0.00036327492783173735,0.07265498556634749,0.00036327492783173746,0.000354718689862521,0.07094373797250421,0.000354718689862521,0.001797843649155155,0.3595697810997182,0.0017978489054985911,0.00044596844003683687,0.08919367196387053,0.00044596835981935263,0.0019130364893907878,0.38260729787815756,0.0019130364893907878,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
6,Bt_plus_all_10_NG,0,0.0,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.003110542531219923,0.0019130364893907878,0.6221082569776819,0.38260729787815756,0.0031105412848884094,0.0019130364893907878,8.078138428402326e-06,0.0,0.0,0.0,4.597820228148416e-05,0.009195640456296832,4.597820228148416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00010271568406423226,0.020542754701702796,0.00010271377350851399,0.0,0.0,0.0,0.00036327492783173724,0.07265498556634745,0.00036327492783173724,0.000354718689862521,0.07094373797250421,0.000354718689862521,0.0017978872524892372,0.3595775854008683,0.0017978879270043415,0.00044596777469071096,0.08919355287996229,0.0004459677643998115,0.0019130364893907878,0.38260729787815756,0.0019130364893907878,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
7,Bt_plus_all_10_NG,0,0.0,on,ng_high_bt_low,0.1,1.0,0.001,no_extinction_control,False,80,0.003110542526669877,0.0019130364893907878,0.6221082561631842,0.38260729787815756,0.003110541280815921,0.0019130364893907878,8.075043597788323e-06,2.2682664942125444e-30,2.114360931781829e-28,1.0571804658909145e-30,4.597820228148416e-05,0.009195640456296832,4.597820228148416e-05,5.917908810174207e-72,1.6108812770680052e-70,8.054406385340025e-73,1.255471379092977e-21,1.4964385704402578e-19,7.482192852201289e-22,0.00010271567708926407,0.020542753453125034,0.00010271376726562517,9.262614963449865e-49,5.044788517850782e-47,2.522394258925391e-49,0.00036327492783173724,0.07265498556634745,0.00036327492783173724,0.000354718689862521,0.07094373797250421,0.000354718689862521,0.0017978872549517287,0.3595775858416738,0.001797887929208369,0.0004459677746531418,0.08919355287323684,0.0004459677643661842,0.0019130364893907878,0.38260729787815756,0.0019130364893907878,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
8,Bt_plus_all_10_NG,1,0.01,off,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,100,0.0034659070889816743,0.0019112423228834538,0.6931777019852221,0.3822484655127688,0.0034658885099261108,0.001911242327563844,0.015346979976841979,0.0,0.0,0.0,5.966254481962058e-05,0.011932509133780134,5.966254566890067e-05,0.0,0.0,0.0,1.0018587563120844e-06,0.00019341470887514583,9.670735443757292e-07,0.0009260101791975658,0.1852039199594237,0.0009260195997971185,0.0,0.0,0.0,0.0003719344040487789,0.07438688096761317,0.0003719344048380659,0.0003955810780901966,0.0791162157944438,0.00039558107897221906,0.001268713132634743,0.2537440200925359,0.0012687201004626795,0.0004430038914344577,0.08860074132855032,0.0004430037066427516,0.0019112423228834538,0.3822484655127688,0.001911242327563844,False,7,True,Cs|Eu.c|Eu.l|Ld|Lsp|Mi|Va,coexistence
9,Bt_plus_all_10_NG,1,0.01,off,ng_low_bt_high,0.0001,0.001,1.0,no_extinction_control,False,100,0.003465907088833643,0.0019112423228834887,0.6931777019566742,0.382248465512775,0.0034658885097833708,0.0019112423275638752,0.015346979834238716,7.915590589122162e-28,9.25924692448881e-26,4.629623462244405e-28,5.9662544819627075e-05,0.011932509133781377,5.966254566890689e-05,3.1434368527513906e-58,1.8171579486337434e-56,9.085789743168716e-59,1.0018584791481377e-06,0.00019341465543052744,9.670732771526372e-07,0.000926010179272633,0.18520391997389643,0.0009260195998694821,1.0997596336365113e-44,8.743630921615856e-43,4.371815460807928e-45,0.0003719344040487839,0.07438688096761395,0.00037193440483806973,0.0003955810780902035,0.07911621579444517,0.00039558107897222583,0.0012687131326902634,0.25374402010324076,0.0012687201005162037,0.0004430038914329841,0.08860074132826601,0.00044300370664133006,0.0019112423228834887,0.382248465512775,0.0019112423275638752,False,7,True,Cs|Eu.c|Eu.l|Ld|Lsp|Mi|Va,coexistence
