species,dm_growth_slope,bt_spent_growth_intercept,bt_initial_growth_h_inv,ratio_at_equal_potential_growth
Col,1.208118951599789,0.01769836499999998,0.5953652510624993,0.4781539808621939
Cs,2.4009969211573368,0.022065106999999976,0.5953652510624993,0.23877587639144293
Et,3.6582138037081955,0.014189857999999956,0.5953652510624993,0.15886862393701084
Eu.c,0.34248427489681077,0.037373342,0.5953652510624993,1.629248260319748
Eu.l,0.33577277006318657,0.04155804,0.5953652510624993,1.649351169716003
Im,4.290148950750106,0.015187973999999903,0.5953652510624993,0.13523476311027824
Ld,1.436086576300116,0.04300415099999999,0.5953652510624993,0.3846293873768971
Lsp,1.1965896671733687,0.03831669399999999,0.5953652510624993,0.4655301414881689
Mi,0.26202079264363554,0.04195969999999999,0.5953652510624993,2.112067311448695
Va,1.4396812494438374,0.05519902899999995,0.5953652510624993,0.3751984838804914
