run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
0,Col,0.0,3.180178653084672,0.0,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
1,Col,0.0,3.180178653084672,0.0,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,9.213148180476823e-10,0.0019130364855779853,9.71570851224612e-08,0.38260729711559627,4.85785425612306e-10,0.0019130364855779814,0.2775416191865734,False,False,True,bt_only
2,Col,0.0,3.180178653084672,0.0,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
3,Col,0.0,3.180178653084672,0.0,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,1.7386048257802148e-09,0.0019130364855779853,1.8334383924908942e-07,0.38260729711559627,9.167191962454471e-10,0.0019130364855779814,0.27774078767176746,False,False,True,bt_only
4,Col,0.0,3.180178653084672,0.0,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
5,Col,0.0,3.180178653084672,0.0,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,1.0539451358137181e-10,0.0019130364855779853,9.82432990900019e-09,0.38260729711559627,4.912164954500095e-11,0.0019130364855779814,0.3268938778357029,False,False,True,bt_only
6,Col,0.0,3.180178653084672,0.0,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
7,Col,0.0,3.180178653084672,0.0,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,2.4193696006799683e-10,0.0019130364855779853,2.2552101105213974e-08,0.38260729711559627,1.1276050552606987e-10,0.0019130364855779814,0.3295020794518262,False,False,True,bt_only
8,Col,0.01,3.180178653084672,0.03180178653084672,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
9,Col,0.01,3.180178653084672,0.03180178653084672,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,5.512624193496942e-09,0.0019130364793159215,6.474033766895024e-07,0.38260729638018964,3.237016883447512e-09,0.0019130364819009483,0.23115805254174937,False,False,True,bt_only
10,Col,0.01,3.180178653084672,0.03180178653084672,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
11,Col,0.01,3.180178653084672,0.03180178653084672,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,20,9.594124806359826e-09,0.0019130364746793188,1.1267212597161548e-06,0.3826072958356972,5.633606298580774e-09,0.0019130364791784859,0.23118705169080123,False,False,True,bt_only
12,Col,0.01,3.180178653084672,0.03180178653084672,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
13,Col,0.01,3.180178653084672,0.03180178653084672,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,20,2.0725646329396347e-10,0.0019130364854739199,2.011007646945542e-08,0.3826072971054986,1.0055038234727709e-10,0.0019130364855274931,0.3119169258253738,False,False,True,bt_only
14,Col,0.01,3.180178653084672,0.03180178653084672,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364855779853,0.0,0.38260729711559627,0.0,0.0019130364855779814,8.881784197001252e-16,True,False,True,bt_only
