run_id,species,ratio,r_ng_bt_production,r_ng_dm,lag_mode,lag_h,initial_condition,initial_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_ng,cycle_start_bt,cycle_end_ng,cycle_end_bt,next_start_ng,next_start_bt,cycle_map_residual_log10,converged_last_n,final_ng_above_threshold,final_bt_above_threshold,final_survival_class
0,Col,0.0,3.173462471200276,0.0,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
1,Col,0.0,3.173462471200276,0.0,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,7.026803103056483e-21,0.0019130364893907858,7.4101212176099e-19,0.3826072978781581,3.70506060880495e-21,0.0019130364893907906,1.442613140056892e-09,True,False,True,bt_only
2,Col,0.0,3.173462471200276,0.0,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
3,Col,0.0,3.173462471200276,0.0,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.3259950078621984e-20,0.0019130364893907858,1.3983291687695806e-18,0.3826072978781581,6.991645843847902e-21,0.0019130364893907906,2.722289949019796e-09,True,False,True,bt_only
4,Col,0.0,3.173462471200276,0.0,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
5,Col,0.0,3.173462471200276,0.0,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,5.778430710378582e-24,0.0019130364893907858,5.386354810741942e-22,0.3826072978781581,2.693177405370971e-24,0.0019130364893907906,1.341149413747189e-12,True,False,True,bt_only
6,Col,0.0,3.173462471200276,0.0,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
7,Col,0.0,3.173462471200276,0.0,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.32658290375357e-23,0.0019130364893907858,1.2365721012535836e-21,0.3826072978781581,6.182860506267918e-24,0.0019130364893907906,3.0748736890018336e-12,True,False,True,bt_only
8,Col,0.01,3.173462471200276,0.03173462471200276,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
9,Col,0.01,3.173462471200276,0.03173462471200276,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,3.0787964070770463e-18,0.0019130364893907858,3.614982189121142e-16,0.3826072978781581,1.807491094560571e-18,0.0019130364893907906,5.52119532315487e-07,True,False,True,bt_only
10,Col,0.01,3.173462471200276,0.03173462471200276,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
11,Col,0.01,3.173462471200276,0.03173462471200276,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,5.3589680832980316e-18,0.0019130364893907858,6.292255677790276e-16,0.3826072978781581,3.1461278388951377e-18,0.0019130364893907906,9.610202216236985e-07,True,False,True,bt_only
12,Col,0.01,3.173462471200276,0.03173462471200276,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
13,Col,0.01,3.173462471200276,0.03173462471200276,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,5.626583679183455e-23,0.0019130364893907858,5.4590096296044695e-21,0.3826072978781581,2.7295048148022347e-23,0.0019130364893907906,1.2581935493471974e-11,True,False,True,bt_only
14,Col,0.01,3.173462471200276,0.03173462471200276,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
15,Col,0.01,3.173462471200276,0.03173462471200276,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.262261817406083e-22,0.0019130364893907858,1.2246684327819014e-20,0.3826072978781581,6.123342163909508e-23,0.0019130364893907906,2.822631017806998e-11,True,False,True,bt_only
16,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
17,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,off,0.0,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,5.5965407620636546e-18,0.0019130364893907858,6.641138864257606e-16,0.3826072978781581,3.320569432128803e-18,0.0019130364893907906,9.884373834978533e-07,True,False,True,bt_only
18,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,off,0.0,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
19,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,off,0.0,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,9.660756179644995e-18,0.0019130364893907858,1.146394282655036e-15,0.3826072978781581,5.73197141327518e-18,0.0019130364893907906,1.7062364126019247e-06,True,False,True,bt_only
20,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
21,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_low_bt_high,0.001,1.0,no_extinction_control,False,60,7.040407175743166e-23,0.0019130364893907858,6.857722343776829e-21,0.3826072978781581,3.428861171888414e-23,0.0019130364893907906,1.568523089190421e-11,True,False,True,bt_only
22,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_high_bt_low,1.0,0.001,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
23,Col,0.010985411419875584,3.173462471200276,0.0348617908716701,on,5.8,ng_high_bt_low,1.0,0.001,no_extinction_control,False,60,1.5757505947953773e-22,0.0019130364893907858,1.5348629407939327e-20,0.3826072978781581,7.674314703969664e-23,0.0019130364893907906,3.510436386022775e-11,True,False,True,bt_only
24,Col,0.012067926406393288,3.173462471200276,0.03829711155589591,off,0.0,ng_low_bt_high,0.001,1.0,hard_extinction,True,20,0.0,0.0019130364893907886,0.0,0.38260729787815795,0.0,0.0019130364893907897,4.440892098500626e-16,True,False,True,bt_only
