species,dm_growth_slope,bt_spent_growth_intercept,bt_initial_growth_h_inv,ratio_at_equal_potential_growth
Col,1.1673964367590879,0.018711291149999972,0.5952615491249995,0.49387700683378094
Cs,3.1270471520253382,0.036038633179999995,0.5952615491249995,0.1788341808606243
Et,4.442804280881955,0.02378155408999999,0.5952615491249995,0.12863046825946456
Eu.c,0.33914767029885134,0.037103633520000005,0.5952615491249995,1.645766621699509
Eu.l,0.38997521172802346,0.04438845303000001,0.5952615491249995,1.412584901624951
Im,3.2213216353780965,0.017024675469999997,0.5952615491249995,0.1795029925930169
Ld,1.4424151477191,0.04300415139999998,0.5952615491249995,0.3828699376863086
Lsp,1.4534592197076441,0.04800927074999997,0.5952615491249995,0.37651711926604764
Mi,0.32425667858337204,0.050230467670000015,0.5952615491249995,1.6808630861086875
Va,1.6622859038774702,0.058656212679999944,0.5952615491249995,0.3228116987536902
