run_id,community,ratio_index,ratio,lag_mode,initial_condition,initial_ng_per_species,initial_total_ng,initial_bt,extinction_mode,hard_extinction,cycle,cycle_start_total_ng,cycle_start_bt,cycle_end_total_ng,cycle_end_bt,next_start_total_ng,next_start_bt,cycle_map_residual_log10,cycle_start_Col,cycle_end_Col,next_start_Col,cycle_start_Cs,cycle_end_Cs,next_start_Cs,cycle_start_Et,cycle_end_Et,next_start_Et,cycle_start_Eu.c,cycle_end_Eu.c,next_start_Eu.c,cycle_start_Eu.l,cycle_end_Eu.l,next_start_Eu.l,cycle_start_Im,cycle_end_Im,next_start_Im,cycle_start_Ld,cycle_end_Ld,next_start_Ld,cycle_start_Lsp,cycle_end_Lsp,next_start_Lsp,cycle_start_Mi,cycle_end_Mi,next_start_Mi,cycle_start_Va,cycle_end_Va,next_start_Va,cycle_start_Bt,cycle_end_Bt,next_start_Bt,converged_last_n,n_ng_above_threshold,final_bt_above_threshold,surviving_ng_species,final_survival_class
0,Bt_plus_all_10_NG,0,0.0,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,80,0.003092628316612009,0.0019130364855779764,0.6185247127766845,0.38260729711559527,0.0030926235638834222,0.0019130364855779764,3.886806473740734e-05,0.0,0.0,0.0,4.580904778675822e-05,0.009161809557351644,4.580904778675822e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.971437046501576e-05,0.015941447317007824,7.970723658503912e-05,0.0,0.0,0.0,0.0003616978326939203,0.07233956653878405,0.0003616978326939203,0.0003542401338590688,0.07084802677181377,0.00035424013385906887,0.001805461941940486,0.3610928717941712,0.001805464358970856,0.00044570498986675947,0.08914099079755597,0.00044570495398777983,0.0019130364855779764,0.38260729711559527,0.0019130364855779764,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
1,Bt_plus_all_10_NG,0,0.0,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.0030926362193817083,0.0019130364855779764,0.6185261627308278,0.38260729711559527,0.0030926308136541387,0.0019130364855779764,4.4202453081787496e-05,0.0,0.0,0.0,4.580904778675822e-05,0.009161809557351644,4.580904778675822e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.972623267684729e-05,0.015943623712185936,7.971811856092968e-05,0.0,0.0,0.0,0.0003616978326939203,0.07233956653878405,0.0003616978326939203,0.00035424013385906887,0.07084802677181376,0.0003542401338590688,0.0018054579228364614,0.36109213440713717,0.0018054606720356858,0.0004457050495286522,0.08914100174355517,0.00044570500871777587,0.0019130364855779764,0.38260729711559527,0.0019130364855779764,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
2,Bt_plus_all_10_NG,1,0.01,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,80,0.0031071864279814815,0.0019123453343737585,0.6214365053682162,0.38246906687390086,0.0031071825268410807,0.0019123453343695043,3.077310503663e-05,0.0,0.0,0.0,5.893853482711697e-05,0.011787706965378921,5.893853482689461e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.295380973885262e-05,0.016589586406289505,8.294793203144752e-05,0.0,0.0,0.0,0.00036156631851946933,0.07231326370372367,0.00036156631851861834,0.00035403543330020376,0.07080708665977378,0.0003540354332988689,0.001801367050159235,0.36027381097291744,0.0018013690548645872,0.0004483252814366039,0.08966505066013282,0.0004483252533006641,0.0019123453343737585,0.38246906687390086,0.0019123453343695043,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
3,Bt_plus_all_10_NG,1,0.01,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.003107193208891582,0.0019123453343811569,0.6214377453471149,0.38246906687525345,0.003107188726735574,0.0019123453343762673,3.535242582497489e-05,0.0,0.0,0.0,5.8938534827502866e-05,0.011787706965449571,5.8938534827247855e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.296402636307038e-05,0.01659145464055506,8.295727320277529e-05,0.0,0.0,0.0,0.00036156631852094374,0.07231326370399382,0.0003615663185199691,0.0003540354333025234,0.0708070866601979,0.0003540354333009895,0.001801363565533453,0.3602731737736894,0.001801365868868447,0.00044832533034408836,0.08966505960322912,0.00044832529801614563,0.0019123453343811569,0.38246906687525345,0.0019123453343762673,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
4,Bt_plus_all_10_NG,2,0.010985411419875584,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,80,0.0031084747016595473,0.0019122689729391467,0.6216941751893214,0.38245379458692874,0.0031084708759466072,0.0019122689729346436,3.0073859266899206e-05,0.0,0.0,0.0,6.009484633324701e-05,0.012018969266604177,6.009484633302089e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.32726050879107e-05,0.016653367771555197,8.326683885777598e-05,0.0,0.0,0.0,0.0003615517316005494,0.07231034631992972,0.0003615517315996486,0.00035401275533571635,0.07080255106686079,0.0003540127553343039,0.0018009617518369902,0.36019274396449247,0.0018009637198224623,0.00044858101146513335,0.0897161967998791,0.00044858098399939555,0.0019122689729391467,0.38245379458692874,0.0019122689729346436,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
5,Bt_plus_all_10_NG,2,0.010985411419875584,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.003108481387981557,0.0019122689729470232,0.621695397471193,0.3824537945883687,0.0031084769873559646,0.0019122689729418436,3.4589522413419616e-05,0.0,0.0,0.0,6.00948463336415e-05,0.012018969266676399,6.0094846333381995e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.328268298424431e-05,0.01665521003449548,8.32760501724774e-05,0.0,0.0,0.0,0.00036155173160212154,0.07231034632021759,0.0003615517316010879,0.0003540127553381866,0.07080255106731223,0.00035401275533656116,0.0018009583122535696,0.36019211520747313,0.0018009605760373657,0.00044858105946979365,0.08971620557501811,0.00044858102787509056,0.0019122689729470232,0.3824537945883687,0.0019122689729418436,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
6,Bt_plus_all_10_NG,3,0.012067926406393288,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,80,0.003109861897147526,0.0019121832845967882,0.6219716305290848,0.38243665691840667,0.0031098581526454237,0.0019121832845920333,2.93243522122566e-05,0.0,0.0,0.0,6.13390344705845e-05,0.01226780689407149,6.133903447035745e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.362265637355592e-05,0.01672340204209417,8.361701021047085e-05,0.0,0.0,0.0,0.0003615353518497424,0.07230707036975832,0.0003615353518487916,0.00035398729497918225,0.0707974589955382,0.000353987294977691,0.0018005160716628892,0.3601036000147459,0.0018005180000737295,0.00044886148781157195,0.08977229221287669,0.00044886146106438345,0.0019121832845967882,0.38243665691840667,0.0019121832845920333,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
7,Bt_plus_all_10_NG,3,0.012067926406393288,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.0031098684829759474,0.0019121832846051487,0.6219728340077542,0.3824366569199345,0.0031098641700387708,0.0019121832845996724,3.377238579194142e-05,0.0,0.0,0.0,6.133903447098366e-05,0.012267806894144459,6.13390344707223e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.363258690999112e-05,0.016725216715135795,8.362608357567897e-05,0.0,0.0,0.0,0.00036153535185141174,0.07230707037006355,0.0003615353518503178,0.00035398729498181013,0.07079745899601791,0.00035398729498008956,0.001800512679905404,0.3601029802229264,0.0018005149011146322,0.0004488615348563467,0.08977230080946597,0.0004488615040473298,0.0019121832846051487,0.3824366569199345,0.0019121832845996724,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
8,Bt_plus_all_10_NG,4,0.013257113655901088,on,ng_low_bt_high,0.0001,0.001,1.0,hard_extinction,True,80,0.003111352638895483,0.0019120869443021201,0.6222697963300183,0.3824173888594246,0.0031113489816500923,0.001912086944297123,2.8522960862531477e-05,0.0,0.0,0.0,6.267508774153836e-05,0.012535017548262499,6.26750877413125e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.400698676208266e-05,0.016800293930917552,8.400146965458776e-05,0.0,0.0,0.0,0.0003615169224889573,0.07230338449759177,0.00036151692248795884,0.00035395865451887695,0.0707917309034618,0.00035395865451730903,0.0018000259124207013,0.36000555965286385,0.0018000277982643193,0.00044916907496332626,0.08983380979692093,0.00044916904898460464,0.0019120869443021201,0.3824173888594246,0.001912086944297123,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
9,Bt_plus_all_10_NG,4,0.013257113655901088,on,ng_high_bt_low,0.1,1.0,0.001,hard_extinction,True,80,0.0031113591184522213,0.0019120869443109718,0.6222709799219444,0.38241738886104193,0.003111354899609721,0.0019120869443052097,3.2899479836423495e-05,0.0,0.0,0.0,6.267508774193854e-05,0.012535017548335648,6.267508774167824e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.40167615096172e-05,0.016802079431460646,8.401039715730322e-05,0.0,0.0,0.0,0.00036151692249072664,0.072303384497915,0.000361516922489575,0.00035395865452165755,0.07079173090396927,0.00035395865451984634,0.0018000225711965812,0.3600049493357942,0.001800024746678971,0.00044916912099170035,0.0898338182044695,0.00044916909102234756,0.0019120869443109718,0.38241738886104193,0.0019120869443052097,True,6,True,Cs|Eu.l|Ld|Lsp|Mi|Va,coexistence
