Sample ID,Experiment ID,growth_qc,,Growth Well ID,16S Well ID,Media,Protocol,Initial OD,Final OD,Growth curve time,Growth curve OD,Notes,Data location,,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg,Bb,Bbi,Bc,Bl,Bt47,Bt61,Pg,Pj,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp
2024930_WZY_DM_assembly_Plate1A10,2024930_WZY_DM_assembly_Plate1,,,A10,Plate1_A10,Galactose,cycle 5,,0.8905,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00994371510487,0.000865969183307,0,0.000865969183307,0.00197082641718,0.00438956792918,0.0057034522073,0.178359790755,0.00261283805308,0.0690834381235,0.00510623208088,0.0000298610063209,0.00229929748671,0.0255610214107,0,0,0,0,0.00110485723387,0,0,0,0,0,0,0,0.000477776101135,0,0.0788629176936,0.00974961856379,0.00316526667002,0.0292787166977,0,0.00813712422246,0,0,0,0,0.124595048874,0.328336695002
2024930_WZY_DM_assembly_Plate1A11,2024930_WZY_DM_assembly_Plate1,,,A11,Plate1_A11,Galactose,cycle 5,,0.9725,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0905498424591,0.00019301858238,0,0.00277464212172,0.00446355471754,0.0125220805319,0.0126668444687,0.0447561837894,0.00427053613516,0.0151278313941,0.101214119136,0.0288562780658,0.00552515692063,0.406666025752,0,0,0,0,0.000627310392736,0,0,0,0,0,0,0,0.00110985684869,0,0.110237737862,0.0152967226536,0.00407751755278,0.0511740516536,0,0.0292181879078,0,0,0,0,0.013463046121,0.0177094549334
2024930_WZY_DM_assembly_Plate1A12,2024930_WZY_DM_assembly_Plate1,,,A12,Plate1_A12,Galactose,cycle 5,,0.9375,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.264256690935,0.0000160223543888,0,0.000544760049221,0.0183616181296,0.0108311115669,0.00874820549631,0.211687346185,0.00294811320755,0.0107830445037,0.000224312961444,0.106997282609,0.00116963187039,0.191226799631,0,0,0,0.0000801117719442,0.00102543068089,0,0,0,0,0,0,0,0.0000320447087777,0,0.0132344647252,0.00105747538966,0.000464648277276,0.0274783377769,0,0.00181052604594,0,0,0.0000320447087777,0,0.0277346954471,0.036755280968
2024930_WZY_DM_assembly_Plate1A1,2024930_WZY_DM_assembly_Plate1,,,A1,Plate1_A1,Glucose,cycle 5,,1.2345,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0540149782135,0.00039845073832,0,0.00241560760107,0.37170473251,0.00341173444687,0.00014941902687,0.0461704793028,0.0164111897846,0.0130990680223,0,0.247238683128,0.00122025538611,0.012028231663,0,0,0,0,0,0,0,0,0,0,0,0,0.00229109174534,0,0.0294106451222,0.00408412006778,0.00154399661099,0.0229607237957,0,0.00244051077221,0,0,0.319731814331,0,0.0742861595255,0.00948810820625
2024930_WZY_DM_assembly_Plate1A2,2024930_WZY_DM_assembly_Plate1,,,A2,Plate1_A2,Glucose,cycle 5,,1.0345,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0356650455356,0.000174828654586,0,0.00188426438832,0.00742050511689,0.0134812318092,0.000679889212281,0.181316740212,0.00609957750446,0.0012238005821,0,0.0162007886583,0.00258357900667,0.0761087409633,0,0,0,0,0.000369082715238,0,0,0,0,0,0,0,0.00312749037649,0,0.0901144587363,0.00879970894752,0.000427358933433,0.00631325697118,0,0.00114609895784,0,0,0.148895737489,0,0.118786358088,0.31368145714
2024930_WZY_DM_assembly_Plate1A3,2024930_WZY_DM_assembly_Plate1,,,A3,Plate1_A3,Glucose,cycle 5,,1.0485,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00220760554302,0,0,0.00132906864325,0.126869738962,0.00718598130841,0.00261308411215,0.169805414115,0.00353667418627,0.0161740895907,0,0.00594701901386,0.00200486625846,0.106235385111,0,0,0,0,0,0,0,0,0,0,0,0,0.00159938768933,0,0.147031034483,0.0163092491138,0.00177960038672,0.00590196583951,0,0.000270319046084,0,0,0.0147549145988,0,0.0147323880116,0.402212213986
2024930_WZY_DM_assembly_Plate1A4,2024930_WZY_DM_assembly_Plate1,,,A4,Plate1_A4,Glucose,cycle 5,,1.0625,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0323568684408,0.000796476761619,0,0.00175888618191,0.0084625655922,0.0105201305597,0.0012610882059,0.0572467672414,0.0082634464018,0.0240270489755,0.00039823838081,0,0.00301997438781,0.0202769708896,0,0.000464611444278,0,0,0,0,0,0,0,0,0,0,0.00318590704648,0,0.422497735507,0.0147016335582,0.00384963768116,0.00484523363318,0,0.0029204147926,0,0,0.0551892022739,0,0.10908412981,0.277373032234
2024930_WZY_DM_assembly_Plate1A5,2024930_WZY_DM_assembly_Plate1,,,A5,Plate1_A5,Glucose,cycle 5,,1.0755,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0291058238052,0.00106161059472,0.00168088344164,0.00150394834252,0.00548498807272,0.0100410668751,0.00278672781114,0.062723492638,0.026142160895,0.00106161059472,0.00415797482932,0.0000884675495599,0.00238862383812,0.700884161389,0,0.00017693509912,0,0.000619272846919,0.00057503907214,0,0,0,0,0,0,0,0.000751974171259,0,0.0643601423048,0.00230015628856,0.00411374105454,0.056486530394,0,0.0011058443695,0,0,0.00137124701818,0,0.0813459118204,0.0131816648844
2024930_WZY_DM_assembly_Plate1A6,2024930_WZY_DM_assembly_Plate1,,,A6,Plate1_A6,Glucose,cycle 5,,1.0595,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0996329520994,0.0000824321170155,0,0.00145630073394,0.0003572058404,0.00588015768044,0.000164864234031,0.0910874893021,0.00354458103167,0.0272575533598,0,0,0.00170359708499,0.353496395135,0.00208828029773,0,0,0,0,0,0,0,0,0,0,0,0.00307746570191,0,0.0123922949247,0.0164589460308,0.00167611971265,0.00409412847844,0,0.00579772556342,0,0,0.171376371275,0,0.0750681812288,0.182806958168
2024930_WZY_DM_assembly_Plate1A7,2024930_WZY_DM_assembly_Plate1,,,A7,Plate1_A7,Galactose,cycle 5,,0.9425,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.0282674304789,0.000685987852625,0,0.000922535388013,0.000520404577854,0.00234182060034,0.00376110581267,0.0164163989559,0.000331166549543,0.00558252183516,0.0660204171268,0,0.00193968979018,0.348954924204,0,0,0,0,0.000662333099086,0,0,0,0,0,0,0,0.000449440317237,0,0.0889182185524,0.0134122452565,0.000662333099086,0.0290716920992,0,0.0162508156812,0,0,0,0,0.0114962102199,0.305832308503
2024930_WZY_DM_assembly_Plate1A8,2024930_WZY_DM_assembly_Plate1,,,A8,Plate1_A8,Galactose,cycle 5,,0.9185,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00708327729529,0.000459953071123,0,0.000551943685348,0.00697814516475,0.00342993575895,0.00323281301418,0.0840794214013,0.00148499134391,0.000328537907945,0.0167160087562,0,0.0019186613824,0.199107113731,0,0,0,0,0.0000131415163178,0,0,0,0,0,0,0,0.000354820940581,0,0.0516987251942,0.00830543831285,0.00180038773554,0.0152835834776,0,0.00710956032793,0,0,0.00590054082669,0,0.129075973273,0.373587025882
2024930_WZY_DM_assembly_Plate1A9,2024930_WZY_DM_assembly_Plate1,,,A9,Plate1_A9,Galactose,cycle 5,,0.8635,48 h,,"growth curve data NA, so 48 h label rather than 0: 0.05:48 was used",Ho lab/7_Shared data/16s rRNA/Raw reads/2024930_DM_assembly/Plate1,,0.00188851798561,0.000563242206235,0,0.00104365467626,0.0321876354916,0.0146277314149,0.000745467625899,0.1195398753,0.0024351942446,0.06313282494,0.0115795971223,0,0.00205417745803,0.273984201439,0,0,0,0,0.00014909352518,0,0,0,0,0,0,0,0.0000331318944844,0,0.00351198081535,0.0113311079137,0.000182225419664,0.0297358752998,0,0.0064772853717,0,0,0.0223971606715,0,0.204871069544,0.0610289496403
