species,Af_Col,Af_Cs,Af_Eu.c,Af_Eu.l,Af_Im,Af_Ld,Af_Lsp,Af_Mi,Af_Va,Ao_Col,Ao_Cs,Ao_Eu.c,Ao_Eu.l,Ao_Im,Ao_Ld,Ao_Lsp,Ao_Mi,Ao_Va,As_Bl.s,As_Col,As_Cs,As_Eu.c,As_Eu.l,As_Im,As_Ld,As_Lsp,As_Mi,As_Va,Bl.s_Col,Bl.s_Cs,Bl.s_Et,Bl.s_Eu.c,Bl.s_Eu.l,Bl.s_Im,Bl.s_Ld,Bl.s_Lsp,Bl.s_Mi,Bl.s_Pc,Bl.s_Va,Col_Cs,Col_Et,Col_Eu.c,Col_Eu.l,Col_Im,Col_Ld,Col_Lsp,Col_Mi,Col_Pc,Col_Va,Col_Vp,Cs_Et,Cs_Eu.c,Cs_Eu.l,Cs_Im,Cs_Ld,Cs_Lsp,Cs_Mi,Cs_Pc,Cs_Va,Cs_Vp,Et_Eu.c,Et_Eu.l,Et_Im,Et_Ld,Et_Lsp,Et_Mi,Et_Va,Et_Vp,Eu.c_Eu.l,Eu.c_Im,Eu.c_Ld,Eu.c_Lsp,Eu.c_Mi,Eu.c_Pc,Eu.c_Va,Eu.c_Vp,Eu.l_Im,Eu.l_Ld,Eu.l_Lsp,Eu.l_Mi,Eu.l_Pc,Eu.l_Va,Eu.l_Vp,Im_Ld,Im_Lsp,Im_Mi,Im_Pc,Im_Va,Im_Vp,Ld_Lsp,Ld_Mi,Ld_Pc,Ld_Va,Lsp_Mi,Lsp_Pc,Lsp_Va,Lsp_Vp,Mi_Pc,Mi_Va,Mi_Vp,Pc_Va,Va_Vp,As_Eu.l_Pc,Bl.s_Im_Vp,Col_Lsp_Va,Et_Im_Lsp,Eu.c_Im_Ld,Af_Cs_Eu.c_Mi,Af_Lsp_Va_Vp,As_Cs_Eu.c_Vp,Af_Bl.s_Col_Eu.c_Va,Af_Eu.l_Im_Mi_Pc,Ao_Eu.l_Im_Mi_Pc,As_Cs_Eu.c_Ld_Mi,Af_dropout,Ao_dropout,As_dropout,Bl.s_dropout,Col_dropout,Cs_dropout,Et_dropout,Eu.c_dropout,Eu.l_dropout,Im_dropout,Ld_dropout,Lsp_dropout,Mi_dropout,Pc_dropout,Va_dropout,Vp_dropout,Full_community
Af,0,0,0,0,0,0,0,0,0.001512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000555,,0.000776,0,,,,0.000811,0.000847,0.001338,0.001662,0.000727,0.000907,0.001031,0.000696,0.001604,0.001082,0.001529,0.000513,0.001143,0.000415,0.000778,0.000887
Ao,,,,,,,,,,0,0,0,0,0,0,0,0,0.008432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,0.000283,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bl.s,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.000454,0,0,0,0.015064,0,0,0,0.022721,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Col,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,0.999546,,,,,,,,,,,0.826384,0.816769,0.432884,0.586135,0.658546,0.533428,0.709978,0.097556,1,0.278209,0.490186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214427,,,,,,0.144889,,,,0.15182,0.129975,0.121234,0.112502,,0.027516,0.055744,0.076082,0.172928,0.090095,0.074141,0.114273,0.068179,0.093206,0.031685,0.098063,0.058369
Cs,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,0.173616,,,,,,,,,,,0.987573,0.00007,0,0.43342,0.999874,0.993833,1,1,0.013641,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04283,,0.314038,,,,0.048933,0.005389,0.003517,0.004671,0.003068,0.011207,,0.006835,0.006923,0.004572,0.006622,0.005385,0.004208,0.006613,0.006119,0.043426,0.005431,0.004314
Et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0.183231,,,,,,,,,,0.012427,,,,,,,,,,0.009751,0.012829,0.14867,0.90063,0.021295,0.002431,0.001503,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058531,,,,,,,,,0,0.000061,0.000124,0.000097,0.000359,0.000061,,0,0.000046,0.00003,0.000033,0,0,0.000066,0.000054,0,0.0002
Eu.c,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.567116,,,,,,,,,,0.99993,,,,,,,,,0.990249,,,,,,,,1,0.395053,0.989367,0.78246,1,1,0.059983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325033,0.04555,,0.685962,0.04628,,,0.055769,0.004,0.004218,0.004922,0.006741,0.006695,0.053024,0.002155,,0.006082,0.003556,0.020578,0.009275,0.03626,0.006111,0.012988,0.002115,0.005734
Eu.l,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.984936,,,,,,,,,,0.413865,,,,,,,,,,1,,,,,,,,,0.987171,,,,,,,0,,,,,,,,0.496197,0.838342,0.816948,1,1,0.070112,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0.010544,0.069923,,0,0,0,0,0,0,0,0.003269,,0,0,0,0,0,0,0,0
Im,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.341454,,,,,,,,,,0.56658,,,,,,,,,0.85133,,,,,,,0.604947,,,,,,,0.503803,,,,,,,0.008671,0.133986,0.048737,1,0.043615,1,,,,,,,,,,,,,,,1,,0.662646,0.674967,,,,,0.050692,0.112352,,0.013118,0.018666,0.020342,0.017422,0.024228,0.073649,0.020458,0.019506,0.014334,,0.036363,0.019271,0.033324,0.019297,0.031536,0.017136,0.01644
Ld,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.466572,,,,,,,,,,0.000126,,,,,,,,,0.09937,,,,,,,0.010633,,,,,,,0.161658,,,,,,0.991329,,,,,,0.113581,0.01907,1,0.009232,,,,,,,,,,,,,,0,,,,,,,0.000583,0,0,0,0.000033,0,0,0,0,0,0.000082,,0,0,0,0,0,0.000033
Lsp,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.290022,,,,,,,,,,0.006167,,,,,,,,,0.978705,,,,,,,0.21754,,,,,,,0.183052,,,,,,0.866014,,,,,0.886419,,,,0.075868,1,0.0288,1,,,,,,,,0.010689,0.278823,,,0.019271,,,,,,0,0,0,0,0,0.000307,0,0,0,0,0,,0,0,0,0,0
Mi,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,0.977279,,,,,,,,,,0.902444,,,,,,,,,,0,,,,,,,,,0.997569,,,,,,,0,,,,,,,0,,,,,,0.951263,,,,,0.98093,,,0.924132,,,,1,0.29368,0.810013,,,,,,,,0.911621,,,,0.938764,0.817724,0.894716,0.308539,0.261116,0.265214,0.261091,0.359321,0.017069,0.288194,0.265718,0.319952,0.341264,0.182919,0.236981,,0.297956,0.287011,0.30823,0.329796
