focal_species,is_canonical_non_grower,replicate_count,grow_replicates,nogrow_replicates,decay_replicates,bad_replicates,yield_48h_net_od_mean,yield_48h_net_od_sd,delta_48h_net_od_mean,background_od_mean,x0_fit_net_od_mean_grow_only,x0_fit_net_od_sd_grow_only,lambda_h_mean_grow_only,lambda_h_sd_grow_only,tau_h_mean_grow_only,tau_h_sd_grow_only,rmse_log2_ratio_mean_grow_only,experiment_ids,raw_protocols
Af,TRUE,5,1,4,0,0,0.0032,0.003962,0.0026,0.131,0.005,,0.073333,,0,,0.13485738,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Af;Bt_Af_100%
Ao,TRUE,5,0,5,0,0,0.0024,0.00305,0,0.1308,,,,,,,,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Ao;Bt_Ao_100%
As,TRUE,5,0,5,0,0,0.0028,0.001304,0.002,0.1306,,,,,,,,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-As;Bt_As_100%
Bl.s,TRUE,5,5,0,0,0,0.205,0.082617,0.2036,0.1296,0.001816,0.000806,0.428,0.081583,15.553333,3.106856,0.3794738,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Bl.s;Bt_Bl.s_100%
Col,TRUE,5,5,0,0,0,0.125,0.036892,0.1244,0.131,0.001661,0.000854,0.187111,0.040663,8.673333,5.916944,0.3448972,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Col;Bt_Col_100%
Cs,TRUE,8,5,1,2,0,0.01625,0.014983,0.010625,0.168625,0.001059,0.000127,0.360667,0.193294,2.773333,3.41251,0.27388128,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Cs;Bt_Cs;Bt_Cs_100%
Et,TRUE,5,3,2,0,0,0.0122,0.00507,0.0118,0.1344,0.002348,0.001588,0.238148,0.131118,3.977778,6.265366,0.20491159,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Et;Bt_Et_100%
Eu.c,TRUE,8,8,0,0,0,0.25175,0.172374,0.251375,0.142875,0.002907,0.000998,0.460417,0.142946,8.575,4.439639,0.37010864,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Eu.c;Bt_Eu.c;Bt_Eu.c_100%
Eu.l,TRUE,8,8,0,0,0,0.38475,0.12034,0.3845,0.14125,0.003656,0.001308,0.451667,0.051441,11.504167,5.401776,0.40829796,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Eu.l;Bt_Eu.l;Bt_Eu.l_100%
Im,TRUE,8,3,5,0,0,0.013625,0.012141,0.0105,0.159875,0.001549,0.000507,0.186296,0.053291,5.844444,7.647827,0.2513182,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Im;Bt_Im;Bt_Im_100%
Ld,TRUE,5,2,3,0,0,0.0472,0.062235,0.0468,0.1326,0.003354,0.002329,0.43,0.04714,8.2,1.979899,0.27325642,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Ld;Bt_Ld_100%
Lsp,TRUE,5,5,0,0,0,0.1336,0.024131,0.1332,0.1402,0.00242,0.001624,0.481111,0.209417,7.26,6.144799,0.28468891,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Lsp;Bt_Lsp_100%
Mi,TRUE,8,8,0,0,0,0.5505,0.118607,0.54875,0.144125,0.002966,0.001802,0.486389,0.098116,13.045833,4.170986,0.41116285,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Mi;Bt_Mi;Bt_Mi_100%
Pc,TRUE,5,0,4,1,0,0.0014,0.001517,-0.004,0.1328,,,,,,,,20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Pc;Bt_Pc_100%
Va,TRUE,8,8,0,0,0,0.147125,0.043093,0.146375,0.148125,0.002043,0.001468,0.745833,0.235284,2.154167,1.203954,0.20529483,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Va;Bt_Va;Bt_Va_100%
Vp,TRUE,8,0,7,1,0,0.001625,0.001408,-0.001125,0.140125,,,,,,,,20241229_Spent_medium;20250323-spent-medium-45-strains-round1;20250910_spent_medium_DM68,Bt-Vp;Bt_Vp;Bt_Vp_100%
