Species,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp,Full_Bt,Diluted_Bt
Af,0.007,0.016,0.005,0.008,0.006,0.002,0.003,0,0.019,0,0,0.006,0.005,0.007,0.013,0.003,0,0.096
Ao,0.004,0.015,0.004,0.007,0.007,0.002,0.004,0,0.069,0.001,0.001,0.004,0.006,0.006,0.003,0.004,0,0.004
As,0.003,0.004,0.004,0.003,0.005,0.002,0.004,0.001,0.003,0.003,0.001,0.004,0.006,0.005,0.032,0.004,0.002,0.223
Bl.s,0.092,0.017,0.069,0.013,0.185,0.011,0.091,0.142,0.016,0.017,0.021,0.01,0.008,0.147,0.173,0.229,0.175,0.029
Col,0.055,0.021,0.035,0.04,0.028,0.013,0.007,0.01,0.004,0.029,0.028,0.059,0.008,0.063,0.323,0.168,0.105,0.759
Cs,0.061,0.056,0.06,0.033,0.108,0.009,0.097,0.008,0.068,0.101,0.006,0.008,0.044,0.066,0.05,0.078,0.018,0.032
Et,0.011,0.009,0.016,0.008,0.011,0.001,0.003,0.002,0.001,0.014,0.005,0.013,0.008,0.027,0.023,0.005,0.01,0.422
Eu.c,0.445,0.191,0.35,0.35,0.482,0.422,0.465,0.018,0.006,0.403,0.421,0.496,0.155,0.74,0.423,0.468,0.365,1.112
Eu.l,0.328,0.195,0.342,0.382,0.568,0.627,0.723,0.201,0.008,0.377,0.721,0.573,0.062,0.571,0.824,0.7,0.482,0.997
Im,0.014,0.01,0.016,0.027,0.009,0.009,0.012,0.017,0.003,0.001,0.04,0.017,0.007,0.019,0.015,0.045,0.012,0.003
Ld,0.083,0.066,0.075,0.004,0.008,0.004,0.015,0.005,0.002,0.008,0.129,0.006,0.016,0.101,0.106,0.062,0.114,0.717
Lsp,0.133,0.027,0.128,0.081,0.1,0.022,0.278,0.039,0.014,0.046,0.085,0.004,0.086,0.247,0.279,0.216,0.132,0.142
Mi,0.491,0.354,0.502,0.52,0.496,0.314,0.511,0.018,0.294,0.385,0.771,0.525,0.014,0.648,0.652,0.47,0.613,0.714
Pc,0.004,0.004,0.006,0.003,0.003,0.002,0.007,0.001,0.002,0.006,0,0.005,0.007,0.007,0.013,0.004,0,0.301
Va,0.138,0.098,0.174,0.181,0.097,0.081,0.128,0.131,0.156,0.095,0.018,0.147,0.09,0.119,0.014,0.141,0.192,0.024
Vp,0.003,0.003,0.006,0.005,0.273,0.004,0.002,0.001,0.004,0.005,0,0.011,0.035,0.005,0.019,0.002,0,0.028
