Species,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg
Af,0,0,0,0,0,0.003,0.003,0,0.23,0.028,0,0,0,0.017,0.043,0.001
Ao,0.001,0,0.001,0,0,0.004,0.001,0.004,0.045,0.005,0,0,0,0.021,0.014,0
As,0,0,0,0,0.002,0.002,0.002,0,0,0,0,0,0.002,0.014,0.032,0.003
Bl.s,0.088,0.122,0.145,0.048,0.175,0.003,0.015,0.001,0.059,0,0,0.045,0.058,0.015,0,0.003
Col,0.583,0.125,0.103,0.068,0.105,0.081,0.018,0.049,0,0.001,0.001,0.043,0.315,0.018,0,0.096
Cs,0.273,0.026,0.005,0.011,0.018,0.152,0.009,0.023,0.017,0.041,0.039,0.029,0.025,0.086,0.02,0.02
Et,0.15,0.012,0.004,0.009,0.01,0.064,0,0.008,0.43,0.457,0.008,0.004,0.05,0.017,0,0.016
Eu.c,0.046,0.008,0.306,0.414,0.365,0.326,0.371,0.012,0,0.004,0.006,0.193,0.44,0.536,0.137,0.101
Eu.l,0.001,0.099,0.134,0.286,0.482,0.554,0.433,0.249,0,0.056,0.012,0.208,0.579,0.66,0.129,0.125
Im,0.025,0,0,0,0.012,0.003,0.006,0.004,0,0.001,0,0.072,0.007,0.014,0.001,0.002
Ld,0,0,0.077,0,0.114,0.333,0.089,0,0,0.002,0,0.001,0.242,0.006,0,0.004
Lsp,0.061,0.073,0.04,0.044,0.132,0.158,0.064,0.026,0,0.014,0.001,0.053,0.129,0.131,0.073,0.003
Mi,0,0.019,0.342,0.341,0.613,0.594,0.559,0.22,0,0.005,0.04,0.318,0.594,0.043,0.432,0.644
Pc,0,0,0,0.004,0,0,0,0,0.149,0.001,0.001,0,0,0,0.043,0.049
Va,0.002,0.145,0.07,0.088,0.192,0.262,0.148,0.127,0.026,0.003,0.004,0.101,0.136,0.263,0.164,0.002
Vp,0.003,0.005,0.005,0.002,0,0.035,0.001,0.012,0.003,0.001,0,0.051,0.002,0.037,0,0.012
