species,Ai+Mi (Bd),Va+Vp (Bd),G1+G2 (Bd),G1+G3 (Bd),G2+G3 (Bd),G1+G2+G3 (Bd),G1+G2+G3+Im (Bd),G1+G2+G3+Im+Mf (Bd)
Ai,0.86466271,,0.31143569,0.99389797,,0.30050232,0.29494435,0.32666199
Ac,,,,,,,,
Bfi,,,,,,,,
Bf,,,,,,,,
Bt,,,,,,,,
Bu,,,,,,,,
Bx,,,,,,,,
Ba,,,,,,,,
Csp,,,,0.0022281,0.00432456,0.00128024,0.00117097,0.00127689
Dl,,,,0,0,0,0,0
Ls,,,,,,,,
Mf,,,,,,,,0.00011218
Pm,,,,,,,,
Bd,,,,,,,,
Bv,,,,,,,,
Rg,,,,,,,,
Af,,,,,,,,
Ao,,,,,,,,
As,,,,,,,,
Bl.s,,,,,,,,
Col,,,,,,,,
Cs,,,,0,0.00717734,0,0,0.00015785
Et,,,,,,,,
Eu.c,,,,0.0019334,0.00571966,0.00010447,0,0.00017093
Eu.l,,,,0,0,0,0,0
Im,,,,,,,0,0
Ld,,,,,,,,
Lsp,,,,,,,,
Mi,0.13533729,,0.00032753,0.00194053,,0,0,0.0008354
Pc,,,,,,,,
Va,,0.94873378,0.56307674,,0.95746423,0.64955847,0.6757346,0.59405776
Vp,,0.05126622,0.12516004,,0.0253142,0.0485545,0.02815008,0.076727
