species,Ai+Mi (Bt+Bd),Va+Vp (Bt+Bd),Eu.c+ Eu.l (Bt+Bd),Csp+Cs (Bt+Bd),G1+G2 (Bt+Bd),Eu.c+ Eu.l+ Csp+Cs + Dl (Bt+Bd),G1+G3 (Bt+Bd),G2+G3 (Bt+Bd),G1+G2+G3 (Bt+Bd),G1+G2+G3+Im (Bt+Bd),G1+G2+G3+Im+Mf (Bt+Bd)
Ai,0.99139103,,,,0.45379723,,0.9479008,,0.36459993,0.36722441,0.3576665
Ac,,,,,,,,,,,
Bfi,,,,,,,,,,,
Bf,,,,,,,,,,,
Bt,,,,,,,,,,,
Bu,,,,,,,,,,,
Bx,,,,,,,,,,,
Ba,,,,,,,,,,,
Csp,,,,0.03886497,,0.01988918,0.00321522,0.00325147,0.00190864,0.00144164,0.00231647
Dl,,,,,,0.02138535,0.00601602,0.00387072,0.00125943,0.00056891,0.00081127
Ls,,,,,,,,,,,
Mf,,,,,,,,,,,0.00447205
Pm,,,,,,,,,,,
Bd,,,,,,,,,,,
Bv,,,,,,,,,,,
Rg,,,,,,,,,,,
Af,,,,,,,,,,,
Ao,,,,,,,,,,,
As,,,,,,,,,,,
Bl.s,,,,,,,,,,,
Col,,,,,,,,,,,
Cs,,,,0.96113503,,0.6844143,0.00605792,0.0366777,0.00099263,0.00177193,0.00098284
Et,,,,,,,,,,,
Eu.c,,,1,,,0.27431117,0.03576037,0.01545437,0.00317062,0.00243536,0.00463403
Eu.l,,,0,,,0,0,0,0,0,0
Im,,,,,,,,,,0,0.00004861
Ld,,,,,,,,,,,
Lsp,,,,,,,,,,,
Mi,0.00860897,,,,0.0198562,,0.00104967,,0,0,0.00113792
Pc,,,,,,,,,,,
Va,,0.43068958,,,0.24307006,,,0.41807295,0.25448124,0.242552,0.1733954
Vp,,0.56931042,,,0.28327652,,,0.52267279,0.37358751,0.38400576,0.45453491
