species,Ai+Mi (Bt),Va+Vp (Bt),Eu.c+ Eu.l (Bt),Csp+Cs (Bt),G1+G2 (Bt),Eu.c+ Eu.l+ Csp+Cs + Dl (Bt),G1+G3 (Bt),G2+G3 (Bt),G1+G2+G3 (Bt),G1+G2+G3+Im (Bt),G1+G2+G3+Im+Mf (Bt)
Ai,0.86815519,,,,0.47908405,,0.96222717,,0.5076543,0.52199682,0.50812373
Ac,,,,,,,,,,,
Bfi,,,,,,,,,,,
Bf,,,,,,,,,,,
Bt,,,,,,,,,,,
Bu,,,,,,,,,,,
Bx,,,,,,,,,,,
Ba,,,,,,,,,,,
Csp,,,,0.02517916,,0.03213594,0.00381453,0.00348751,0.00156615,0.00182386,0.0030331
Dl,,,,,,0,0.00538531,0.01602348,0.00313231,0.00419418,0.00448997
Ls,,,,,,,,,,,
Mf,,,,,,,,,,,0.00590295
Pm,,,,,,,,,,,
Bd,,,,,,,,,,,
Bv,,,,,,,,,,,
Rg,,,,,,,,,,,
Af,,,,,,,,,,,
Ao,,,,,,,,,,,
As,,,,,,,,,,,
Bl.s,,,,,,,,,,,
Col,,,,,,,,,,,
Cs,,,,0.97482084,,0.67552564,0.00450317,0.04181716,0.00041911,0.00057567,0.00058687
Et,,,,,,,,,,,
Eu.c,,,1,,,0.29233842,0.02406981,0.03008521,0.00787488,0.00994248,0.00963205
Eu.l,,,0,,,0,0,0,0,0,0
Im,,,,,,,,,,0.00025486,0.0006499
Ld,,,,,,,,,,,
Lsp,,,,,,,,,,,
Mi,0.13184481,,,,0.035446,,0,,0,0,0.00012145
Pc,,,,,,,,,,,
Va,,0.64008513,,,0.36590505,,,0.74482501,0.42350112,0.41090841,0.26177425
Vp,,0.35991487,,,0.1195649,,,0.16376163,0.05585212,0.05030372,0.20568572
