focal_strain,canonical_species_order,n_replicates,n_grow,lambda_h_mean,lambda_h_median,lambda_h_sd,tau_h_mean,tau_h_median,tau_h_sd,delta_x_48h_mean,delta_x_48h_sd
Ac,1,6,6,0.76859525,0.70898301,0.22982450,3.39041639,3.73151870,3.23714710,0.59833333,0.04662474
Ai,2,6,6,1.21779052,1.13660810,0.67219186,2.61793624,1.90497793,2.82161369,0.07933333,0.03659326
Ba,3,6,6,1.27616328,1.34434877,0.45885992,2.26230457,2.15157609,1.39775728,0.73016667,0.33643746
Bd,4,6,6,0.56566420,0.55805295,0.08422514,1.47720751,0.38297772,2.12335172,0.61683333,0.06683537
Bf,5,6,6,0.59003433,0.57762068,0.26896795,0.98340326,0.00000000,2.34410718,0.58816667,0.05669362
Bfi,6,6,6,0.65420911,0.71014899,0.28483487,3.25266574,2.41559383,3.81871220,0.45600000,0.05684716
Bt,7,6,6,0.50631452,0.44821482,0.16914098,0.54622556,0.00000000,1.33797391,0.69166667,0.05291755
Bu,8,6,6,0.75749203,0.68243023,0.54330114,0.09673588,0.00000000,0.20468197,0.51366667,0.11843592
Bv,9,6,6,0.40252101,0.42713080,0.09512609,0.00000000,0.00000000,0.00000000,0.61333333,0.01935631
Bx,10,6,6,0.40864986,0.38885970,0.11511413,2.59968028,0.59574859,4.05749476,0.61883333,0.03381962
Csp,11,6,6,0.86847677,0.78628813,0.40660148,10.05014022,11.01715413,6.15934015,0.12016667,0.06192065
Dl,12,6,6,0.51760838,0.48504566,0.25571234,15.56903407,16.24383563,11.09278947,0.28983333,0.15559488
Ls,13,6,6,0.26499728,0.24949988,0.08012532,4.07679578,3.78896093,3.94413197,0.07566667,0.02260678
Mf,14,6,6,1.06727676,1.05407127,0.15905890,3.10649046,2.34546352,2.34501084,0.32166667,0.06681517
Pm,15,6,6,0.18110634,0.18778672,0.04622573,1.93587754,0.27400064,4.02018583,0.47083333,0.07386045
Rg,16,6,6,0.54250370,0.47018864,0.19986036,4.88309728,3.93512694,4.38505390,0.57816667,0.07843575
