species,Bl.s_Ls_Ba,Ba_Eu.l_Eu.c,Mf_Bu_Im,Bfi_Col_Dl,Lsp_Mf_Bd,Bfi_Va_Dl,Dl_Mi_Ld,Ld_Va_Pm,Ba_Mf_Eu.l,Et_Rg_Pm_Vp,Vp_Rg_Bf_Bd,Va_Bu_Bfi_Ld,Pc_Ac_Vp_Bv,Bfi_Bl.s_Ao_Mi,Va_Pm_Eu.l_Bd,Eu.c_Bv_Dl_Pm,Af_Csp_As_Im,Va_Rg_Et_Ld,Csp_Cs_Vp_Va,Pm_As_Bv_Bfi,Pm_Mf_Ac_Col,Ba_Dl_Vp_Ac_Lsp,Ao_Ld_Cs_Bl.s_Bu,Ac_Mf_Va_Eu.l_Ba,Col_Vp_Dl_Ba_Mi,Bf_Im_Ai_Col_Ld,Bx_Af_Ai_Pm_Bd,Ao_Ld_Col_Ac_Im,Bt_Bd_dropout,Bd_dropout,Bt_dropout,Whole_community_13,Full_community_32_Glucose
Ai,,,,,,,,,,,,,,,,,,,,,,,,,,0.4481200554136832,0.4482140318460148,,0.16590288624075158,0.2444872157018024,0.18095626703646875,0.18309198523268652,0.038655313944850035
Ac,,,,,,,,,,,,,0.8025802153999789,,,,,,,,0.007626561905730698,0.011550796842170257,,0.005831212921760139,,,,0.4215375804905124,,,,,0.0003845720658925418
Bfi,,,,0.4600585353632349,,0.1891725836225363,,,,,,0.0006959431546264486,,0.7392747038028582,,,,,,0.5571310672860106,,,,,,,,,,,,,0.0002607705082279958
Bf,,,,,,,,,,,0.41865926583202623,,,,,,,,,,,,,,,0.19261970926763963,,,,,,,0.001579380119738942
Bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19792943305644084,,0.142214630142433,0.07378028269145961
Bu,,,0.2902505088213572,,,,,,,,,0.566899850945029,,,,,,,,,,,0.8185789453339077,,,,,,,,,,0.007908555084312121
Bx,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25233190119299914,,,,,,0.0012011983855512835
Ba,0.999976295453468,0.990355575617491,,,,,,,0.5406148605519919,,,,,,,,,,,,,0.874440463284729,,0.42239316632115614,0.35545583102104317,,,,,,,,0.09548667142743257
Csp,,,,,,,,,,,,,,,,,0.06490648408164776,,0.2965506445282553,,,,,,,,,,0.03370806702462428,0.07148397941457706,0.080422037372774,0.058514176422201004,0.009670338107343199
Dl,,,,0.2140397410130317,,0.3168337701068374,0.2784028553192643,,,,,,,,,0.2999574605093807,,,,,,0.016933566770707956,,,0.04471885015159686,,,,0.00409606904072789,0.008076450901231274,0.004579167417463343,0.0050968723641081045,0.012758142451674713
