species,Ai_Af,Ai_Ao,Ai_As,Ai_Bl.s,Ai_Col,Ai_Cs,Ai_Et,Ai_Eu.c,Ai_Eu.l,Ai_Im,Ai_Ld,Ai_Lsp,Ai_Mi,Ai_Pc,Ai_Va,Ai_Vp,Ac_Af,Ac_Ao,Ac_As,Ac_Bl.s,Ac_Col,Ac_Cs,Ac_Et,Ac_Eu.c,Ac_Eu.l,Ac_Im,Ac_Ld,Ac_Lsp,Ac_Mi,Ac_Pc,Ac_Va,Ac_Vp,Bfi_Af,Bfi_Ao,Bfi_As,Bfi_Col,Bfi_Cs,Bfi_Et,Bfi_Eu.c,Bfi_Eu.l,Bfi_Im,Bfi_Ld,Bfi_Lsp,Bfi_Mi,Bfi_Pc,Bfi_Va,Bfi_Vp,Bf_Af,Bf_Ao,Bf_As,Bf_Bl.s,Bf_Col,Bf_Cs,Bf_Et,Bf_Eu.c,Bf_Eu.l,Bf_Im,Bf_Ld,Bf_Lsp,Bf_Mi,Bf_Pc,Bf_Va,Bf_Vp,Bt_Af,Bt_Ao,Bt_As,Bt_Bl.s,Bt_Col,Bt_Cs,Bt_Et,Bt_Eu.c,Bt_Eu.l,Bt_Im,Bt_Ld,Bt_Lsp,Bt_Mi,Bt_Pc,Bt_Va,Bt_Vp,Bu_Af,Bu_Ao,Bu_As,Bu_Bl.s,Bu_Col,Bu_Cs,Bu_Et,Bu_Eu.c,Bu_Eu.l,Bu_Im,Bu_Ld,Bu_Lsp,Bu_Mi,Bu_Pc,Bu_Va,Bu_Vp,Bx_Af,Bx_Ao,Bx_As,Bx_Bl.s,Bx_Col,Bx_Cs,Bx_Et,Bx_Eu.c,Bx_Eu.l,Bx_Im,Bx_Ld,Bx_Lsp,Bx_Mi,Bx_Pc,Bx_Va,Bx_Vp,Ba_Af,Ba_Ao,Ba_As,Ba_Bl.s,Ba_Col,Ba_Cs,Ba_Et,Ba_Eu.c,Ba_Eu.l,Ba_Im,Ba_Ld,Ba_Lsp,Ba_Mi,Ba_Pc,Ba_Va,Ba_Vp,Csp_Af,Csp_Ao,Csp_As,Csp_Bl.s,Csp_Col,Csp_Cs,Csp_Et,Csp_Eu.c,Csp_Eu.l,Csp_Im,Csp_Ld,Csp_Lsp,Csp_Mi,Csp_Pc,Csp_Va,Csp_Vp,Dl_Af,Dl_Ao,Dl_As,Dl_Bl.s,Dl_Col,Dl_Cs,Dl_Et,Dl_Eu.c,Dl_Eu.l,Dl_Im,Dl_Ld,Dl_Lsp,Dl_Mi,Dl_Pc,Dl_Va,Dl_Vp,Ls_Af,Ls_Ao,Ls_As,Ls_Cs,Ls_Et,Ls_Eu.c,Ls_Eu.l,Ls_Im,Ls_Ld,Ls_Lsp,Ls_Mi,Ls_Va,Ls_Vp,Mf_Af,Mf_Ao,Mf_As,Mf_Bl.s,Mf_Col,Mf_Cs,Mf_Et,Mf_Eu.c,Mf_Eu.l,Mf_Im,Mf_Ld,Mf_Lsp,Mf_Mi,Mf_Pc,Mf_Va,Mf_Vp,Pm_Af,Pm_As,Pm_Bl.s,Pm_Col,Pm_Cs,Pm_Et,Pm_Eu.c,Pm_Eu.l,Pm_Im,Pm_Ld,Pm_Lsp,Pm_Mi,Pm_Pc,Pm_Va,Pm_Vp,Bd_Af,Bd_Ao,Bd_As,Bd_Bl.s,Bd_Col,Bd_Cs,Bd_Et,Bd_Eu.l,Bd_Im,Bd_Ld,Bd_Lsp,Bd_Mi,Bd_Pc,Bd_Va,Bd_Vp,Bv_Af,Bv_Ao,Bv_As,Bv_Bl.s,Bv_Col,Bv_Cs,Bv_Et,Bv_Eu.c,Bv_Eu.l,Bv_Im,Bv_Ld,Bv_Lsp,Bv_Mi,Bv_Pc,Bv_Va,Bv_Vp,Rg_Af,Rg_Ao,Rg_As,Rg_Col,Rg_Cs,Rg_Et,Rg_Eu.l,Rg_Im,Rg_Ld,Rg_Lsp,Rg_Mi,Rg_Pc,Rg_Va,Rg_Vp
Ai,0.8235035399069314,0.6764410727138568,0.7232010525627212,1,0.7284485164848069,0.9868527190151233,0.9340024355325877,0.8741896606653697,1,0.9826461701270933,1,1,0.9783681334153566,1,0.9643454480182512,0.9350495442426437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac,,,,,,,,,,,,,,,,,0.8401509428473175,0.9823795289850735,1,1,0.9450205326437712,0.9776559792175318,0.8676632667410676,0.9699836643948808,1,0.9220396948100733,0.9999758903977481,0.999899142713061,0.9569746569817771,1,0.9433215004989527,0.9838708535075008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9994351988623486,1,0.5055102783307386,0.8084539384430316,0.7602847483372769,0.8230371410189122,1,0.6871669857758453,0.22346996428078172,0.9349473533752227,0.2187797874933403,1,0.4649211652591956,0.958114249647296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9985873776248674,0.999257717219717,1,0.9976016677147563,0.8390481751443296,0.9886913026687535,0.7582266634738358,0.6550613668423113,1,0.8030911508696473,0.7823408785200161,1,0.9190898802120101,0.9997946673955475,0.7976017547770259,0.9543339989935952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0.9932759171332691,0.5633810968688611,0.9699722447363032,0.7139539902777159,0.9672620183998099,1,0.9422928084840215,0.8924496602647224,0.9944639313293434,0.6919471570927217,0.9998818059470507,0.5142703448534577,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9999099950497277,0.9998933219543419,1,0.35270975511842634,0.9626697129374298,0.7494523244306833,1,1,0.7614181775568034,0.859291460109239,1,0.8421661102951749,0.977061763902033,0.8301868193509185,0.9631855550991242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.7609470468431772,0.9325057977560686,0.4874255937920786,0.4705789245142197,1,0.17549830247093803,0.111394887171901,0.8352335204892863,0.02204160767396053,1,0.0759796508448045,0.9051089392639259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9935846323605387,0.9827145604840616,0.9443353895350463,1,0.8772547479419618,0.9741815735593544,0.997723030440863,0.954545919728989,1,0.9043005469652718,1,0.9272273994283223,0.6761418139658179,0.0002726269273334153,0.6677711013642568,0.8252849543717021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25477169591932586,0.29119206767099476,0.1961054787325552,1,1,0.9747783869507463,0.6566348773745255,0.999847258286238,1,0.5554106247419986,1,1,0.6876953821599422,1,0.4428260507675739,0.5423513340831612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28629607977378346,0.2718085711333995,0.46283536298313743,1,0.5591552682308161,0.8614873049644562,0.7684469995136786,0.724216559609312,1,0.4468470177967491,0.74045206244892,0.9413145539906104,0.6620122323465022,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
