species,Ai_Ac,Ai_Bfi,Ai_Bf,Ai_Bt,Ai_Bu,Ai_Bx,Ai_Ba,Ai_Csp,Ai_Dl,Ai_Ls,Ai_Mf,Ai_Pm,Ai_Bd,Ai_Bv,Ai_Rg,Ac_Bfi,Ac_Bf,Ac_Bt,Ac_Bu,Ac_Bx,Ac_Ba,Ac_Dl,Ac_Ls,Ac_Mf,Ac_Pm,Ac_Bd,Ac_Bv,Ac_Rg,Bfi_Bf,Bfi_Bt,Bfi_Bu,Bfi_Bx,Bfi_Ba,Bfi_Csp,Bfi_Dl,Bfi_Ls,Bfi_Mf,Bfi_Pm,Bfi_Bv,Bfi_Rg,Bf_Bt,Bf_Bu,Bf_Bx,Bf_Ba,Bf_Ls,Bf_Mf,Bf_Pm,Bf_Bd,Bf_Bv,Bf_Rg,Bt_Bu,Bt_Bx,Bt_Ba,Bt_Csp,Bt_Dl,Bt_Ls,Bt_Mf,Bt_Pm,Bt_Bd,Bt_Bv,Bt_Rg,Bu_Bx,Bu_Ba,Bu_Csp,Bu_Dl,Bu_Ls,Bu_Mf,Bu_Pm,Bu_Bd,Bu_Bv,Bu_Rg,Bx_Ba,Bx_Csp,Bx_Dl,Bx_Ls,Bx_Mf,Bx_Pm,Bx_Bd,Bx_Bv,Bx_Rg,Ba_Csp,Ba_Dl,Ba_Ls,Ba_Mf,Ba_Pm,Ba_Bd,Ba_Bv,Ba_Rg,Csp_Dl,Csp_Ls,Csp_Mf,Csp_Pm,Csp_Bd,Csp_Bv,Csp_Rg,Dl_Ls,Dl_Mf,Dl_Pm,Dl_Bd,Dl_Bv,Dl_Rg,Ls_Mf,Ls_Pm,Ls_Bd,Ls_Bv,Ls_Rg,Mf_Pm,Mf_Bd,Mf_Bv,Mf_Rg,Pm_Bd,Pm_Bv,Pm_Rg,Bd_Bv,Bd_Rg,Bv_Rg
Ai,0,0.4363680497135274,0.16283986589059107,0.2640008848611902,0.3680125654650531,0.6013359703922474,0.12905746340450983,0.583931028003003,0.19163797798265064,1,0.18720963442707877,0.885095653876385,0.07119775651808129,0.16674593296211512,0.511308710833995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ac,1,,,,,,,,,,,,,,,0.8048803050394052,0.6215484765655208,0.5109773156542912,0.7087323183528034,0.6439288341793605,1,0.8704412653636913,1,0.9695595364908722,0.9971872582800084,0.6204180692583148,0.7195459782633783,0.8906049119547457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bfi,,0.5636319502864726,,,,,,,,,,,,,,0.19511969496059478,,,,,,,,,,,,,0.07832747987163582,0.09175384990415211,0.5564920325794307,0.19025797243411752,0.21568025410075875,0.6911537238561742,0.8704182615716143,0.6459548467801252,0.12625968241268828,1,0.34760454553788134,0.6029104248660715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bf,,,0.8371601341094089,,,,,,,,,,,,,,0.3784515234344793,,,,,,,,,,,,0.9216725201283642,,,,,,,,,,,,0.5938602371267064,0.9995888492441664,0.7105566923841551,0.26539180866475487,0.6319186566840636,0.015695115623034862,1,0.9663618985318911,0.9888330076035773,0.7427231688063143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bt,,,,0.7359991151388098,,,,,,,,,,,,,,0.48902268434570884,,,,,,,,,,,,0.9082461500958479,,,,,,,,,,,0.4061397628732935,,,,,,,,,,0.9885721378132083,0,0.1786010681410546,0.8271173920311363,0.8765388733461595,0.45728603936515205,0.09717373947610496,1,0.5148347700481772,0.8056036179545152,0.7679463874220771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bu,,,,,0.6319874345349469,,,,,,,,,,,,,,0.29126768164719663,,,,,,,,,,,,0.4435079674205692,,,,,,,,,,,0.0004111507558336039,,,,,,,,,0.011427862186791725,,,,,,,,,,,0.03768758950311934,0.00032908368596405843,0.8119952936622014,0.6016319954920399,0.27062081856097564,0.18226742047935401,0.9988698590032621,0.3260395216066692,0.015991786278232143,0.4842698246359973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx,,,,,,0.3986640296077526,,,,,,,,,,,,,,0.3560711658206396,,,,,,,,,,,,0.8097420275658824,,,,,,,,,,,0.28944330761584486,,,,,,,,,1,,,,,,,,,,0.9623124104968807,,,,,,,,,,0.12673466875436573,0.5432577497838705,0.8192584781560246,0.3062752093643026,0.08555905149030911,1,0.7157108824626472,0.14612493610567528,0.4962330609937732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ba,,,,,,,0.8709425365954901,,,,,,,,,,,,,,0,,,,,,,,,,,,0.7843197458992412,,,,,,,,,,,0.7346081913352451,,,,,,,,,0.8213989318589454,,,,,,,,,,0.9996709163140359,,,,,,,,,0.8732653312456342,,,,,,,,,0.7735398514469793,0.9839042742736784,1,0.04800960829838586,0.9808514317551843,0.8676655687019568,0,0.9811063110952428,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csp,,,,,,,,0.4160689719969971,,,,,,,,,,,,,,,,,,,,,,,,,,0.30884627614382576,,,,,,,,,,,,,,,,,,,,0.17288260796886376,,,,,,,,,,0.18800470633779864,,,,,,,,,0.4567422502161294,,,,,,,,0.22646014855302066,,,,,,,,0.6402005419431402,1,0.017512642957351644,0.5618851261499547,0.2959028831562974,0.25399316184418685,0.20052585239320186,,,,,,,,,,,,,,,,,,,,,
Dl,,,,,,,,,0.8083620220173493,,,,,,,,,,,,,0.12955873463630868,,,,,,,,,,,,,0.12958173842838572,,,,,,,,,,,,,,,,,,,,0.1234611266538404,,,,,,,,,,0.39836800450796006,,,,,,,,,0.18074152184397552,,,,,,,,0.016095725726321612,,,,,,,0.3597994580568597,,,,,,,0.9971145175834085,0.05604978590179342,0.35544403874369646,0.1923163940919574,0.38392718634241274,0.19876208359413033,,,,,,,,,,,,,,,
Ls,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,0.35404515321987484,,,,,,,,,0.36808134331593645,,,,,,,,,,,0.5427139606348479,,,,,,,,,,0.7293791814390245,,,,,,,,,0.6937247906356975,,,,,,,,0,,,,,,,0,,,,,,0.002885482416591524,,,,,,0.030376828481258358,0.7548240835323229,0.579311358328252,0.5030568508643797,0.21397017470590124,,,,,,,,,,
Mf,,,,,,,,,,,0.8127903655729212,,,,,,,,,,,,,0.030440463509127737,,,,,,,,,,,,,0.8737403175873117,,,,,,,,,0.9843048843769651,,,,,,,,,,,0.902826260523895,,,,,,,,,,0.817732579520646,,,,,,,,,0.9144409485096909,,,,,,,,0.9519903917016141,,,,,,,0.9824873570426483,,,,,,0.9439502140982066,,,,,0.9696231715187417,,,,,0.7485130956780361,0.8982243605237634,0.5965401312614194,0.8952644522073863,,,,,,
Pm,,,,,,,,,,,,0.11490434612361503,,,,,,,,,,,,,0.0028127417199915617,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.001130140996737838,,,,,,,,,0,,,,,,,,0.019148568244815676,,,,,,,0.4381148738500453,,,,,,0.6445559612563034,,,,,0.24517591646767706,,,,0.2514869043219638,,,,0.000030108692379489958,0,0.23289354201164467,,,
