focal_species,Ai,Ac,Bfi,Bf,Bt,Bu,Bx,Ba,Csp,Dl,Ls,Mf,Pm,Bd,Bv,Rg
Ai,0.032333333333,0.182,0.1625,0.132,0.2035,0.147,0.1235,0.164,0,0,0.17,0.2515,0.1825,0.113,0.102,0.2275
Ac,0.769,0.04,0.0765,0.228,0.1635,0.2045,0.2275,0.2055,0.2935,0.563,0.769,0.056,0.4225,0.1295,0,0.114
Bfi,0.515333333333,0,0,0,0,0,0,0.131,0.229,0,0,0,0.0325,0,0,0.0245
Bf,0.512666666667,0,0,0,0,0,0,0.138,0.159,0.049,0.337,0,0.376,0,0,0.0355
Bt,0.719,0,0,0,0,0,0,0.1165,0.3305,0.295,0,0.019,0.0315,0,0,0.0375
Bu,0.587,0,0,0,0,0,0,0.151,0.3615,0.0335,0.486,0.0105,0.385,0,0,0.0195
Bx,0.240666666667,0.0125,0,0,0,0,0,0.1445,0.2795,0.208,0,0.0115,0.035,0,0,0.0475
Ba,0.795333333333,0.049,0.014,0.028,0.109,0,0.0575,0.1195,0.3115,0.188,0.798,0,0.654,0.1015,0,0.0665
Csp,0.5305,0.0805,0.126,0.205,0.1495,0.325,0.1,0.097,0,0.2195,0.1555,0.102,0.353,0.134,0.232,0.014
Dl,0.2085,0.077,0.127,0.1295,0.1105,0,0.078,0.1235,0,0,0.088,0.1575,0,0.1955,0,0.047
Ls,0.237,0,0.1015,0.0195,0.031,0.191,0.033,0.1225,0,0,0,0,0.5135,0.231,0,0.011
Mf,0.505,0.0535,0.15,0.0805,0,0.0985,0.1855,0.167,0.26,0.453,0.521,0.0275,0.43,0.3505,0.237,0.1895
Pm,0,0,0,0,0,0,0,0.072,0.06,0,0,0,0,0,0,0
Bd,0.115,0.0135,0,0,0,0,0,0.143,0.2265,0,0.048,0,0.0495,0,0,0.017
Bv,0.422,0,0,0,0,0,0,0.129,0.2295,0,0.5875,0.0095,0.3555,0,0,0.0405
Rg,0.8765,0.1745,0.1665,0.0995,0.1855,0.04,0.2885,0.1855,0.252,0.6315,0.411,0.254,0.4465,0.2205,0,0.0545
