species,Af_Col,Af_Cs,Af_Eu.c,Af_Eu.l,Af_Im,Af_Ld,Af_Lsp,Af_Mi,Af_Va,Ao_Col,Ao_Cs,Ao_Eu.c,Ao_Eu.l,Ao_Im,Ao_Lsp,Ao_Mi,Ao_Va,As_Bl.s,As_Col,As_Cs,As_Eu.c,As_Eu.l,As_Im,As_Ld,As_Lsp,As_Mi,As_Va,Bl.s_Col,Bl.s_Cs,Bl.s_Eu.c,Bl.s_Eu.l,Bl.s_Im,Bl.s_Ld,Bl.s_Lsp,Bl.s_Mi,Bl.s_Pc,Bl.s_Va,Col_Cs,Col_Et,Col_Eu.c,Col_Eu.l,Col_Im,Col_Ld,Col_Lsp,Col_Mi,Col_Pc,Col_Va,Col_Vp,Cs_Et,Cs_Eu.c,Cs_Eu.l,Cs_Im,Cs_Ld,Cs_Lsp,Cs_Mi,Cs_Pc,Cs_Va,Cs_Vp,Et_Eu.c,Et_Eu.l,Et_Im,Et_Ld,Et_Lsp,Et_Mi,Et_Va,Et_Vp,Eu.c_Eu.l,Eu.c_Im,Eu.c_Ld,Eu.c_Lsp,Eu.c_Mi,Eu.c_Pc,Eu.c_Va,Eu.c_Vp,Eu.l_Im,Eu.l_Ld,Eu.l_Lsp,Eu.l_Mi,Eu.l_Pc,Eu.l_Va,Eu.l_Vp,Im_Ld,Im_Lsp,Im_Mi,Im_Pc,Im_Va,Im_Vp,Ld_Lsp,Ld_Mi,Ld_Pc,Ld_Va,Lsp_Mi,Lsp_Pc,Lsp_Va,Lsp_Vp,Mi_Pc,Mi_Va,Mi_Vp,Pc_Va,Va_Vp,As_Eu.l_Pc,Bl.s_Im_Vp,Col_Lsp_Va,Et_Im_Lsp,Eu.c_Im_Ld,Af_Cs_Eu.c_Mi,Af_Lsp_Va_Vp,As_Cs_Eu.c_Vp,Af_Bl.s_Col_Eu.c_Va,Af_Eu.l_Im_Mi_Pc,Ao_Eu.l_Im_Mi_Pc,As_Cs_Eu.c_Ld_Mi,Af_dropout,Ao_dropout,As_dropout,Bl.s_dropout,Col_dropout,Cs_dropout,Et_dropout,Eu.c_dropout,Eu.l_dropout,Im_dropout,Ld_dropout,Lsp_dropout,Mi_dropout,Pc_dropout,Va_dropout,Vp_dropout,Full_community
Af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015115365297456314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0005554159826749124,,0.0007764870733505267,0.0,,,,0.0008109968486306587,0.0008467518093087425,0.0013375049371297635,0.001661662409444524,0.0007272122505292122,0.0009070739909701735,0.0010308919275757984,0.0006960772469899196,0.0016039187986504274,0.0010818452057360986,0.001528868513600682,0.0005129769552042753,0.0011428714187604046,0.00041504745977474815,0.0007783649423654468,0.0008873012449485675
Ao,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008432237662415918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.00028286042605851677,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bl.s,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.00045438657811953866,0.0,0.0,0.015063996010638297,0.0,0.0,0.0,0.02272082854541927,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.9995456134218805,,,,,,,,,,0.8263835764076466,0.8167686494578226,0.4328838383515002,0.5861349129091645,0.6585463595040433,0.6401131506775343,0.7099776918138039,0.09755607883650057,1.0,0.2782093660464209,0.4901863476764664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21442663639889128,,,,,,0.14488913660417913,,,,0.15182039428553884,0.12997538278923804,0.12123443022991924,0.11250238167349223,,0.027516070878484497,0.05574393205437494,0.07608162908771589,0.17292777556531377,0.090095025770695,0.0741406512554245,0.11427286207699061,0.0681787499506301,0.09320649512070878,0.03168510734584762,0.09806320470657914,0.0583693547912457
Cs,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.17361642359235346,,,,,,,,,,,0.9875732724945547,7.02000702000702e-05,0.0,0.43341984568609204,0.9998738011105502,0.9938326139673972,1.0,1.0,0.01364054895868072,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04282959548389339,,0.3140381694698633,,,,0.04893279616140941,0.005388968856490594,0.0035167443949217386,0.004671300479717019,0.003068389168869269,0.011207296465044356,,0.006834738963148651,0.006923219111345951,0.004571613220579959,0.006621642557776606,0.005384646286024863,0.004207728539513311,0.0066130654809982295,0.006118989950685191,0.0434255272354962,0.0054305126153215595,0.0043142339854725514
Et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18323135054217737,,,,,,,,,,0.012426727505445339,,,,,,,,,,0.009751095524760927,0.012828830221332656,0.1486697965571205,0.9006300963676798,0.021295224408282673,0.0024305728742237366,0.0015026787541348213,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05853144577381075,,,,,,,,,0.0,6.11348372503297e-05,0.0001237202684729826,9.721540833162097e-05,0.0003585706431799924,6.13986615091791e-05,,0.0,4.583896770644725e-05,2.9894695933573985e-05,3.318235362434258e-05,0.0,0.0,6.591740549091988e-05,5.38829393143396e-05,0.0,0.0001999074660355841
Eu.c,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.5671161616484999,,,,,,,,,,0.9999297999297999,,,,,,,,,0.9902489044752391,,,,,,,,1.0,0.39505298100764996,0.9893670620912338,0.7824598546861432,1.0,1.0,0.05998300777450889,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3250334544730616,0.04554986279128684,,0.6859618305301366,0.0462803789065482,,,0.05576860886888831,0.003999833740346149,0.004218420005195423,0.0049223280882650456,0.006740797512769143,0.006694934727000568,0.05302394596638813,0.0021551131312424103,,0.0060817488847449966,0.0035564125077282623,0.020577544613169862,0.00927541629111187,0.03626023425906468,0.006111395559246125,0.012988455543128377,0.0021154407561074454,0.00573376898544279
Eu.l,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.9849360039893618,,,,,,,,,,0.4138650870908355,,,,,,,,,,1.0,,,,,,,,,0.9871711697786674,,,,,,,0.0,,,,,,,,0.49619715699319356,0.8383417122288543,0.8169484059237473,1.0,1.0,0.07011160499265481,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.010544484316463066,0.06992349728746794,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003269424628805503,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Im,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.3414536404959568,,,,,,,,,,0.566580154313908,,,,,,,,,0.8513302034428795,,,,,,,0.60494701899235,,,,,,,0.5038028430068064,,,,,,,0.017341040462427744,0.13398594221379032,0.048737289163021336,1.0,0.04361541194721268,1.0,,,,,,,,,,,,,,,1.0,,0.6626460277731528,0.6749665455269384,,,,,0.05069188731738964,0.11235237958264462,,0.013118452780305259,0.018665762454920378,0.020341838787147803,0.017422145022634755,0.024227734511525115,0.07364865485581752,0.02045832238272054,0.01950597638923869,0.014333527492109721,,0.03636311175374459,0.01927141846189077,0.033323668857144835,0.01929653478348631,0.031535594676654115,0.01713585742569847,0.016439854176444942
