species,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10,Resource_11,Resource_12,Resource_13,Resource_14,Resource_15,Resource_16,Resource_17
Af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bl.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Col,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cs,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Et,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Eu.c,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Eu.l,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
Im,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Ld,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Lsp,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Mi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
Pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Va,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
Vp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
