community,community_type,n_presented,mean_abs_log2_error,rmse_log2_error
Af_Col,pairwise,2,0.0,0.0
Af_Cs,pairwise,2,0.0,0.0
Af_Eu.c,pairwise,2,0.0,0.0
Af_Eu.l,pairwise,2,0.0,0.0
Af_Im,pairwise,2,0.0,0.0
Af_Ld,pairwise,2,0.0,0.0
Af_Lsp,pairwise,2,0.0,0.0
Af_Mi,pairwise,2,0.0,0.0
Af_Va,pairwise,2,0.29909909071591956,0.42144967112476284
Ao_Col,pairwise,2,0.0,0.0
Ao_Cs,pairwise,2,0.0,0.0
Ao_Eu.c,pairwise,2,0.0,0.0
Ao_Eu.l,pairwise,2,0.0,0.0
Ao_Im,pairwise,2,0.0,0.0
Ao_Lsp,pairwise,2,0.0,0.0
Ao_Mi,pairwise,2,0.0,0.0
Ao_Va,pairwise,2,1.5440661286000783,2.1750178844485295
As_Bl.s,pairwise,2,4.9828921423310435,6.379078610547673
As_Col,pairwise,2,0.0,0.0
As_Cs,pairwise,2,0.0,0.0
As_Eu.c,pairwise,2,0.0,0.0
As_Eu.l,pairwise,2,0.0,0.0
As_Im,pairwise,2,0.0,0.0
As_Ld,pairwise,2,0.0,0.0
As_Lsp,pairwise,2,0.0,0.0
As_Mi,pairwise,2,0.0,0.0
As_Va,pairwise,2,0.0,0.0
Bl.s_Col,pairwise,2,0.0003278451213032137,0.0004636430169048573
Bl.s_Cs,pairwise,2,0.0,0.0
Bl.s_Eu.c,pairwise,2,0.0,0.0
Bl.s_Eu.l,pairwise,2,1.9674653619840525,2.766975225376574
Bl.s_Im,pairwise,2,0.0,0.0
Bl.s_Ld,pairwise,2,0.0,0.0
Bl.s_Lsp,pairwise,2,0.0,0.0
Bl.s_Mi,pairwise,2,2.2695504456314484,3.1862694958238276
Bl.s_Pc,pairwise,2,4.9828921423310435,6.379078610547673
Bl.s_Va,pairwise,2,0.0,0.0
Col_Cs,pairwise,2,1.023771436265135,1.098047892940636
Col_Et,pairwise,2,0.2348760226112715,0.27169166033936737
Col_Eu.c,pairwise,2,1.305742534860958,1.461830728039165
Col_Eu.l,pairwise,2,1.7825173824336824,1.905267902651847
Col_Im,pairwise,2,0.3553128175143037,0.3855759190443108
Col_Ld,pairwise,2,0.9651912991849796,0.9661632947668772
Col_Lsp,pairwise,2,1.2673677036495732,1.2674072501586717
Col_Mi,pairwise,2,0.1693497906469404,0.2194677797098243
Col_Pc,pairwise,2,0.0,0.0
Col_Va,pairwise,2,0.034705608429899226,0.038103000354338466
Col_Vp,pairwise,2,5.011211994347503,6.401051596779828
Cs_Et,pairwise,2,2.2594876117342824,2.9598025022349375
Cs_Eu.c,pairwise,2,3.3598698448610747,4.650534582957746
Cs_Eu.l,pairwise,2,3.331355914517523,4.613850185894665
Cs_Im,pairwise,2,1.0640783094676538,1.0897944450060217
Cs_Ld,pairwise,2,5.641721948126369,6.823135485529818
Cs_Lsp,pairwise,2,4.400678841772442,5.059038109183273
Cs_Mi,pairwise,2,6.888258391019116,7.504523243813373
Cs_Pc,pairwise,2,0.0,0.0
Cs_Va,pairwise,2,2.208724052325287,2.8843596749630542
Cs_Vp,pairwise,2,0.0,0.0
Et_Eu.c,pairwise,2,0.9109057835732413,1.2635482908096867
Et_Eu.l,pairwise,2,0.6742948446391603,0.9337691756968394
Et_Im,pairwise,2,1.2139423577394288,1.3092231876241425
Et_Ld,pairwise,2,3.043937821702282,3.0458054726328605
Et_Lsp,pairwise,2,1.2420869241307977,1.6640657442176527
Et_Mi,pairwise,2,1.5772364940213122,2.2112218876529233
Et_Va,pairwise,2,2.912698110931935,4.03800413158776
Et_Vp,pairwise,2,0.0,0.0
Eu.c_Eu.l,pairwise,2,0.0,0.0
Eu.c_Im,pairwise,2,2.704628797833779,3.0527951699281135
Eu.c_Ld,pairwise,2,2.3152504364825863,3.0530525763211926
Eu.c_Lsp,pairwise,2,0.04275939387585606,0.04889759089975905
Eu.c_Mi,pairwise,2,8.937119803346974,8.995441560537252
Eu.c_Pc,pairwise,2,0.0,0.0
Eu.c_Va,pairwise,2,2.7928376163469517,2.921963940550032
Eu.c_Vp,pairwise,2,0.0,0.0
Eu.l_Im,pairwise,2,2.4435763686073684,2.8574658220671108
Eu.l_Ld,pairwise,2,0.20207494885724198,0.23951220698182893
Eu.l_Lsp,pairwise,2,0.16786461690284699,0.19553559520443373
Eu.l_Mi,pairwise,2,7.031857799251178,7.588226315940232
Eu.l_Pc,pairwise,2,0.0,0.0
Eu.l_Va,pairwise,2,2.7015291497072047,2.800866723789489
Eu.l_Vp,pairwise,2,0.0,0.0
Im_Ld,pairwise,2,1.487753859794085,1.9925612239934438
Im_Lsp,pairwise,2,0.14372695182288908,0.18000833925890894
Im_Mi,pairwise,2,0.5969489096009639,0.8163298409316789
Im_Pc,pairwise,2,0.0,0.0
Im_Va,pairwise,2,0.46663976995163325,0.6215070077389797
Im_Vp,pairwise,2,0.0,0.0
Ld_Lsp,pairwise,2,1.409939899632593,1.5543467760231253
Ld_Mi,pairwise,2,1.623822494988945,2.1486826346743944
Ld_Pc,pairwise,2,0.0,0.0
Ld_Va,pairwise,2,3.2202788931562383,4.003274380717647
Lsp_Mi,pairwise,2,0.6612383772175365,0.8324179651464617
Lsp_Pc,pairwise,2,0.0,0.0
Lsp_Va,pairwise,2,2.462256615499396,2.924507898742008
Lsp_Vp,pairwise,2,0.0,0.0
Mi_Pc,pairwise,2,0.0,0.0
Mi_Va,pairwise,2,1.657022242039375,1.6692653209164774
Mi_Vp,pairwise,2,3.936871661078035,5.3569425585087425
Pc_Va,pairwise,2,4.505605902230079e-05,6.371888973642043e-05
Va_Vp,pairwise,2,3.8952102015365884,5.3085668599659765
As_Eu.l_Pc,higher_order,3,0.0,0.0
Bl.s_Im_Vp,higher_order,3,0.0,0.0
Col_Lsp_Va,higher_order,3,2.144652100405436,3.0565471083785476
Et_Im_Lsp,higher_order,3,1.6475093632965487,1.844117067627665
