community,community_type,n_presented,mean_abs_log2_error,rmse_log2_error
Af_Col,pairwise,2,0.0,0.0
Af_Cs,pairwise,2,0.0,0.0
Af_Eu.c,pairwise,2,0.0,0.0
Af_Eu.l,pairwise,2,0.0,0.0
Af_Im,pairwise,2,0.0,0.0
Af_Ld,pairwise,2,0.0,0.0
Af_Lsp,pairwise,2,0.0,0.0
Af_Mi,pairwise,2,0.0,0.0
Af_Va,pairwise,2,0.29909909071591956,0.42144967112476284
Ao_Col,pairwise,2,0.0,0.0
Ao_Cs,pairwise,2,0.0,0.0
Ao_Eu.c,pairwise,2,0.0,0.0
Ao_Eu.l,pairwise,2,0.0,0.0
Ao_Im,pairwise,2,0.0,0.0
Ao_Lsp,pairwise,2,0.0,0.0
Ao_Mi,pairwise,2,0.0,0.0
Ao_Va,pairwise,2,1.5440661286000783,2.1750178844485295
As_Bl.s,pairwise,2,4.9828921423310435,6.379078610547673
As_Col,pairwise,2,0.0,0.0
As_Cs,pairwise,2,0.0,0.0
As_Eu.c,pairwise,2,0.0,0.0
As_Eu.l,pairwise,2,0.0,0.0
As_Im,pairwise,2,0.0,0.0
As_Ld,pairwise,2,0.0,0.0
As_Lsp,pairwise,2,0.0,0.0
As_Mi,pairwise,2,0.0,0.0
As_Va,pairwise,2,0.0,0.0
Bl.s_Col,pairwise,2,0.0003278451213032137,0.0004636430169048573
Bl.s_Cs,pairwise,2,0.0,0.0
Bl.s_Eu.c,pairwise,2,0.0,0.0
Bl.s_Eu.l,pairwise,2,1.9674653619840525,2.766975225376574
Bl.s_Im,pairwise,2,0.0,0.0
Bl.s_Ld,pairwise,2,0.0,0.0
Bl.s_Lsp,pairwise,2,0.0,0.0
Bl.s_Mi,pairwise,2,2.2695504456314484,3.1862694958238276
Bl.s_Pc,pairwise,2,4.9828921423310435,6.379078610547673
Bl.s_Va,pairwise,2,0.0,0.0
Col_Cs,pairwise,2,1.023857853202516,1.0981306620726763
Col_Et,pairwise,2,0.23473128812131697,0.27152827451840295
Col_Eu.c,pairwise,2,1.3058300516874484,1.461939511454035
Col_Eu.l,pairwise,2,1.7825835313903156,1.9053481566025865
Col_Im,pairwise,2,0.35528461359662794,0.3855442464784232
Col_Ld,pairwise,2,0.9652443818891312,0.9662171899304598
Col_Lsp,pairwise,2,1.267419305495277,1.2674586850602805
Col_Mi,pairwise,2,0.16945223169384838,0.2196017240711622
Col_Pc,pairwise,2,0.0,0.0
Col_Va,pairwise,2,0.034824137647670526,0.03823360009763993
Col_Vp,pairwise,2,5.011211994347503,6.401051596779828
Cs_Et,pairwise,2,2.2590506670512407,2.9593130618889987
Cs_Eu.c,pairwise,2,3.3598565062716874,4.6505174827039975
Cs_Eu.l,pairwise,2,3.3313560794534656,4.613850398100693
Cs_Im,pairwise,2,1.0641392912943952,1.0898610945939167
Cs_Ld,pairwise,2,3.635089654838668,4.996608414317602
Cs_Lsp,pairwise,2,4.40067812913626,5.059037654261994
Cs_Mi,pairwise,2,6.888300330334071,7.504547309684459
Cs_Pc,pairwise,2,0.0,0.0
Cs_Va,pairwise,2,2.2087022971120738,2.8843354073220793
Cs_Vp,pairwise,2,0.0,0.0
Et_Eu.c,pairwise,2,0.9105938838449876,1.2631218240100752
Et_Eu.l,pairwise,2,0.6740571861644694,0.9334436848846843
Et_Im,pairwise,2,1.2136954966137719,1.308991413193676
Et_Ld,pairwise,2,3.044130167067201,3.045992552679
Et_Lsp,pairwise,2,1.2419054216647474,1.6638356965393977
Et_Mi,pairwise,2,1.576752915490791,2.21055241963509
Et_Va,pairwise,2,2.9120231718902296,4.037123300001323
Et_Vp,pairwise,2,0.0,0.0
Eu.c_Eu.l,pairwise,2,0.0,0.0
Eu.c_Im,pairwise,2,2.7047097385208336,3.0529018069910494
Eu.c_Ld,pairwise,2,2.3152333666227114,3.0530331830811246
Eu.c_Lsp,pairwise,2,0.04274448656078187,0.048880618173569076
Eu.c_Mi,pairwise,2,8.939887680878773,8.99787993637827
Eu.c_Pc,pairwise,2,0.0,0.0
Eu.c_Va,pairwise,2,2.792837025856944,2.9219634643296857
Eu.c_Vp,pairwise,2,0.0,0.0
Eu.l_Im,pairwise,2,2.4435758385482838,2.857465112245856
Eu.l_Ld,pairwise,2,0.20207408930010648,0.23951120796373898
Eu.l_Lsp,pairwise,2,0.16786419081741508,0.19553510724183845
Eu.l_Mi,pairwise,2,7.038168544404268,7.5919669029722625
Eu.l_Pc,pairwise,2,0.0,0.0
Eu.l_Va,pairwise,2,2.701528733095191,2.800866379436104
Eu.l_Vp,pairwise,2,0.0,0.0
Im_Ld,pairwise,2,1.487775193219412,1.9925878845623421
Im_Lsp,pairwise,2,0.1437028197135059,0.17997781116319853
Im_Mi,pairwise,2,0.5970786956757711,0.8165093972109471
Im_Pc,pairwise,2,0.0,0.0
Im_Va,pairwise,2,0.4664323836347669,0.6212362620173593
Im_Vp,pairwise,2,0.0,0.0
Ld_Lsp,pairwise,2,1.409939518843515,1.5543464225975214
Ld_Mi,pairwise,2,1.6238180716860477,2.1486772981330193
Ld_Pc,pairwise,2,0.0,0.0
Ld_Va,pairwise,2,3.2202774136720063,4.003273097959092
Lsp_Mi,pairwise,2,0.6612357475555419,0.8324148230784625
Lsp_Pc,pairwise,2,0.0,0.0
Lsp_Va,pairwise,2,2.462255786391881,2.924507177279599
Lsp_Vp,pairwise,2,0.0,0.0
Mi_Pc,pairwise,2,0.0,0.0
Mi_Va,pairwise,2,1.6570222323739936,1.669265310608593
Mi_Vp,pairwise,2,3.936871661078035,5.3569425585087425
Pc_Va,pairwise,2,4.505605902230079e-05,6.371888973642043e-05
Va_Vp,pairwise,2,3.8952102015365884,5.3085668599659765
As_Eu.l_Pc,higher_order,3,0.0,0.0
Bl.s_Im_Vp,higher_order,3,0.0,0.0
Col_Lsp_Va,higher_order,3,2.1447175305261177,3.056573636336668
Et_Im_Lsp,higher_order,3,1.6473470126510248,1.8440307464941454
