species,Af_Col,Af_Cs,Af_Eu.c,Af_Eu.l,Af_Im,Af_Ld,Af_Lsp,Af_Mi,Af_Va,Ao_Col,Ao_Cs,Ao_Eu.c,Ao_Eu.l,Ao_Im,Ao_Lsp,Ao_Mi,Ao_Va,As_Bl.s,As_Col,As_Cs,As_Eu.c,As_Eu.l,As_Im,As_Ld,As_Lsp,As_Mi,As_Va,Bl.s_Col,Bl.s_Cs,Bl.s_Eu.c,Bl.s_Eu.l,Bl.s_Im,Bl.s_Ld,Bl.s_Lsp,Bl.s_Mi,Bl.s_Pc,Bl.s_Va,Col_Cs,Col_Et,Col_Eu.c,Col_Eu.l,Col_Im,Col_Ld,Col_Lsp,Col_Mi,Col_Pc,Col_Va,Col_Vp,Cs_Et,Cs_Eu.c,Cs_Eu.l,Cs_Im,Cs_Ld,Cs_Lsp,Cs_Mi,Cs_Pc,Cs_Va,Cs_Vp,Et_Eu.c,Et_Eu.l,Et_Im,Et_Ld,Et_Lsp,Et_Mi,Et_Va,Et_Vp,Eu.c_Eu.l,Eu.c_Im,Eu.c_Ld,Eu.c_Lsp,Eu.c_Mi,Eu.c_Pc,Eu.c_Va,Eu.c_Vp,Eu.l_Im,Eu.l_Ld,Eu.l_Lsp,Eu.l_Mi,Eu.l_Pc,Eu.l_Va,Eu.l_Vp,Im_Ld,Im_Lsp,Im_Mi,Im_Pc,Im_Va,Im_Vp,Ld_Lsp,Ld_Mi,Ld_Pc,Ld_Va,Lsp_Mi,Lsp_Pc,Lsp_Va,Lsp_Vp,Mi_Pc,Mi_Va,Mi_Vp,Pc_Va,Va_Vp,As_Eu.l_Pc,Bl.s_Im_Vp,Col_Lsp_Va,Et_Im_Lsp,Eu.c_Im_Ld,Af_Cs_Eu.c_Mi,Af_Lsp_Va_Vp,As_Cs_Eu.c_Vp,Af_Bl.s_Col_Eu.c_Va,Af_Eu.l_Im_Mi_Pc,Ao_Eu.l_Im_Mi_Pc,As_Cs_Eu.c_Ld_Mi,Af_dropout,Ao_dropout,As_dropout,Bl.s_dropout,Col_dropout,Cs_dropout,Et_dropout,Eu.c_dropout,Eu.l_dropout,Im_dropout,Ld_dropout,Lsp_dropout,Mi_dropout,Pc_dropout,Va_dropout,Vp_dropout,Full_community
Af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015115365297456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0005554159826749,,0.0007764870733505,0.0,,,,0.0008109968486306002,0.0008467518093087003,0.0013375049371297007,0.0016616624094445004,0.0007272122505292001,0.0009070739909701002,0.0010308919275757006,0.0006960772469899001,0.0016039187986504003,0.0010818452057360004,0.0015288685136006007,0.0005129769552042001,0.0011428714187604004,0.0004150474597747,0.0007783649423654003,0.0008873012449485005
Ao,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008432237662415902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.00028286042605850007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bl.s,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.00045438657811950006,0.0,0.0,0.0150639960106382,0.0,0.0,0.0,0.0227208285454192,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Col,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.9995456134218805,,,,,,,,,,0.8263835764076466,0.8167686494578227,0.4328838383515002,0.5861349129091645,0.6585463595040433,0.6401131506775343,0.7099776918138039,0.09755607883650051,1.0,0.2782093660464209,0.4901863476764664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21442663639889126,,,,,,0.1448891366041791,,,,0.15182039428553884,0.12997538278923806,0.12123443022991924,0.11250238167349226,,0.027516070878484407,0.05574393205437492,0.07608162908771585,0.17292777556531372,0.09009502577069502,0.07414065125542453,0.11427286207699065,0.06817874995063011,0.09320649512070872,0.0316851073458476,0.09806320470657913,0.05836935479124573
Cs,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.1736164235923534,,,,,,,,,,,0.9875732724945546,7.02000702000702e-05,0.0,0.433419845686092,0.9998738011105504,0.9938326139673973,1.0,1.0,0.013640548958680701,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042829595483893305,,0.31403816946986335,,,,0.0489327961614094,0.005388968856490501,0.0035167443949217013,0.004671300479717002,0.003068389168869201,0.011207296465044302,,0.006834738963148602,0.006923219111345903,0.004571613220579901,0.0066216425577766014,0.005384646286024803,0.004207728539513302,0.006613065480998202,0.006118989950685102,0.0434255272354962,0.005430512615321501,0.004314233985472502
Et,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18323135054217732,,,,,,,,,,0.012426727505445297,,,,,,,,,,0.0097510955247609,0.0128288302213326,0.1486697965571205,0.9006300963676798,0.021295224408282604,0.0024305728742237006,0.0015026787541348,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585314457738107,,,,,,,,,0.0,6.113483725032972e-05,0.00012372026847290007,9.7215408331621e-05,0.0003585706431799001,6.139866150917911e-05,,0.0,4.5838967706447266e-05,2.989469593357399e-05,3.318235362434259e-05,0.0,0.0,6.591740549091991e-05,5.38829393143396e-05,0.0,0.00019990746603550008
Eu.c,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.5671161616484999,,,,,,,,,,0.9999297999298,,,,,,,,,0.9902489044752392,,,,,,,,1.0,0.3950529810076499,0.9893670620912339,0.7824598546861433,1.0,1.0,0.0599830077745088,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3250334544730616,0.04554986279128681,,0.6859618305301367,0.0462803789065482,,,0.0557686088688883,0.003999833740346101,0.004218420005195402,0.004922328088265001,0.006740797512769103,0.006694934727000502,0.05302394596638811,0.0021551131312424004,,0.006081748884744902,0.0035564125077282007,0.02057754461316981,0.009275416291111803,0.036260234259064605,0.006111395559246102,0.0129884555431283,0.0021154407561074008,0.0057337689854427025
Eu.l,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,0.9849360039893618,,,,,,,,,,0.4138650870908355,,,,,,,,,,1.0,,,,,,,,,0.9871711697786674,,,,,,,0.0,,,,,,,,0.4961971569931935,0.8383417122288543,0.8169484059237473,1.0,1.0,0.0701116049926548,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.010544484316463,0.06992349728746791,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032694246288055015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Im,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,0.3414536404959568,,,,,,,,,,0.566580154313908,,,,,,,,,0.8513302034428795,,,,,,,0.60494701899235,,,,,,,0.5038028430068064,,,,,,,0.017341040462427702,0.1339859422137903,0.0487372891630213,1.0,0.04361541194721261,1.0,,,,,,,,,,,,,,,1.0,,0.6626460277731528,0.6749665455269384,,,,,0.0506918873173896,0.11235237958264462,,0.013118452780305203,0.018665762454920305,0.020341838787147806,0.017422145022634707,0.024227734511525108,0.07364865485581751,0.020458322382720502,0.01950597638923861,0.014333527492109704,,0.036363111753744515,0.019271418461890708,0.03332366885714481,0.019296534783486308,0.0315355946766541,0.017135857425698408,0.016439854176444908
