Media,n_replicates_total,n_replicates_used,n_excluded_high_other_species,n_excluded_low_growth,included_in_score,mean_abs_log2_error,rmse_log2_error
Galactose,6,6,0,0,True,2.003312027997939,2.990335119631122
Glucose,6,6,0,0,True,2.0743064238529554,3.0232558877364504
Oligo_xylose,6,6,0,0,True,1.5833737749215273,2.5746131187109245
Fructose,6,0,6,0,False,,
Xylan,6,6,0,0,True,1.5921693653060929,2.743730308855258
Xylose,6,6,0,0,True,1.7786470531482426,2.7407044688868174
Sucrose,6,6,0,0,True,2.1065754887822683,3.190299371663994
Maltose,6,6,0,0,True,2.2088048216480916,3.284638012411405
Rhamonse,6,6,0,0,True,1.911226944911894,2.939430055514915
Lactose,6,6,0,0,True,1.8510943071626842,3.210390146856919
Ribose,6,6,0,0,True,1.6474591431983123,2.8052946904515212
Glucuronic_acid,6,0,6,0,False,,
Acetate,6,6,0,0,True,1.6882019083524287,2.8684471077415044
Arabinose,6,6,0,0,True,1.9969070090698904,3.172537344140708
Propionate,6,6,0,0,True,1.4526882168120845,2.600021939085757
Mannose,6,6,0,0,True,2.426677058722237,3.370060147621819
N_acetylglutamic_acid,6,6,0,0,True,1.8762164881831822,2.81301675933531
Sugar_mix,6,6,0,0,True,2.013898198321407,2.995535394707836
N_acetylgalactosamine,6,6,0,0,True,2.50109804369498,3.6022354098452585
Water,6,6,0,0,True,1.8229844348462143,3.2507978177527663
Urea,6,6,0,0,True,1.5695458877805115,2.8699155958541778
Butyrate,6,6,0,0,True,1.692897390184913,3.0710645184954752
Glutamate,6,6,0,0,True,2.2946894194077476,3.512850382213082
Succinate,6,6,0,0,True,1.885118251767763,3.5199145182352938
Acid_mix,6,6,0,0,True,1.4836231833527205,2.8254156633079393
Pyruvate,6,4,0,2,True,1.9374788212599026,3.57795716563662
Host_sugar_mix,6,6,0,0,True,2.175943162688319,3.20152297850685
Lactate,6,6,0,0,True,1.4560193827033807,2.812924257427905
Master_mix,6,6,0,0,True,2.3166771614530015,3.2870392903816104
Fucose,6,6,0,0,True,1.8863908669751674,2.9688005417017505
blank,6,0,0,6,False,,
Sialic_acid,6,6,0,0,True,1.6953837380832386,2.7774702822177293
