Media,n_replicates_total,n_replicates_used,n_excluded_high_other_species,n_excluded_low_growth,included_in_score,mean_abs_log2_error,rmse_log2_error
Galactose,6,6,0,0,True,1.4554037116970677,2.5172992150961067
Glucose,6,6,0,0,True,1.8528977582475683,2.972725593341733
Oligo_xylose,6,6,0,0,True,0.7697966301853455,1.6810671757214628
Fructose,6,0,6,0,False,,
Xylan,6,6,0,0,True,0.8124287665793806,1.8372921929769037
Xylose,6,6,0,0,True,1.232790949298818,2.160083404426498
Sucrose,6,6,0,0,True,1.665393292737754,2.5961351593222735
Maltose,6,6,0,0,True,1.9690497471945636,3.0564721118647924
Rhamonse,6,6,0,0,True,1.403780121448138,2.2553821531547276
Lactose,6,6,0,0,True,1.8499285466292117,3.21039029973364
Ribose,6,6,0,0,True,1.5205684423245653,2.6359933724152054
Glucuronic_acid,6,0,6,0,False,,
Acetate,6,6,0,0,True,1.6879717556603602,2.8680436405544807
Arabinose,6,6,0,0,True,1.651430220187148,3.0085792914837994
Propionate,6,6,0,0,True,1.4516472984640543,2.5989644297213856
Mannose,6,6,0,0,True,1.8777638057595303,2.891268382070122
N_acetylglutamic_acid,6,6,0,0,True,1.8069636185358138,2.741794144023622
Sugar_mix,6,6,0,0,True,1.427378882512814,2.469620864055684
N_acetylgalactosamine,6,6,0,0,True,2.44257912588936,3.5415414005400283
Water,6,6,0,0,True,1.8231025758436525,3.2507735845286425
Urea,6,6,0,0,True,1.5695358485981945,2.8697853124325245
Butyrate,6,6,0,0,True,1.6929301559581518,3.0711247241924715
Glutamate,6,6,0,0,True,2.2931992975860727,3.5117719022401324
Succinate,6,6,0,0,True,1.885118251767763,3.5199145182352938
Acid_mix,6,6,0,0,True,1.4893865068983283,2.830215538724134
Pyruvate,6,4,0,2,True,1.9374787628810128,3.5779570650659074
Host_sugar_mix,6,6,0,0,True,1.0745091816731642,1.9559185126899936
Lactate,6,6,0,0,True,1.4559466852416587,2.8127605635246504
Master_mix,6,6,0,0,True,1.3588511575543865,2.2152177717505843
Fucose,6,6,0,0,True,1.8135728900704793,2.8899044790177237
blank,6,0,0,6,False,,
Sialic_acid,6,6,0,0,True,1.6449992562610323,2.6947545741848455
