community,mean_abs_log2_error,rmse_log2_error
Bl.s_Ls_Ba,3.55568575342673,5.41453044636996
Ba_Eu.l_Eu.c,1.0945588760785856,1.8877766250747616
Mf_Bu_Im,2.19193194479492,2.608277011582581
Bfi_Col_Dl,1.2871394458614371,1.5885575058309465
Lsp_Mf_Bd,1.5809773825043987,1.8682626809620941
Bfi_Va_Dl,1.2097040246812156,1.3357677141273097
Dl_Mi_Ld,2.3433663818094064,3.6484454004578133
Ld_Va_Pm,0.4938206217975433,0.5306114104180518
Ba_Mf_Eu.l,2.2095102988194237,2.7546552824554142
Et_Rg_Pm_Vp,3.4105426239912733,4.594901407119489
Vp_Rg_Bf_Bd,1.302357959872045,1.535492717673061
Va_Bu_Bfi_Ld,2.972994952783904,4.26428460958006
Pc_Ac_Vp_Bv,0.026413380408912522,0.043884171160891446
Bfi_Bl.s_Ao_Mi,1.3862320562088737,2.112144358755501
Va_Pm_Eu.l_Bd,0.2604133210999553,0.3137930643193602
Eu.c_Bv_Dl_Pm,3.449929152685958,4.449849534994339
Af_Csp_As_Im,5.126785025236002,5.890142190783607
Va_Rg_Et_Ld,2.098606608740819,2.9984015837009323
Csp_Cs_Vp_Va,3.268146548058885,3.731748989842212
Pm_As_Bv_Bfi,1.8424372352858134,3.49165228902097
Pm_Mf_Ac_Col,3.4531240893064883,3.8626408713681246
Ba_Dl_Vp_Ac_Lsp,4.287802861959573,4.4993435332353
Ao_Ld_Cs_Bl.s_Bu,0.6536956065921999,0.9594260131787066
Ac_Mf_Va_Eu.l_Ba,2.890265295060578,3.3891576792134295
Col_Vp_Dl_Ba_Mi,3.65398962123503,4.577011120050673
Bf_Im_Ai_Col_Ld,2.7982089992128145,3.5803501859792095
Bx_Af_Ai_Pm_Bd,1.80183275226153,3.078755601485374
Ao_Ld_Col_Ac_Im,2.6907163012731767,3.138211459603466
Bt_Bd_dropout,3.509218950222389,4.113110458895645
Bd_dropout,3.5241475897451906,4.2190373307639355
Bt_dropout,3.60100758182206,4.285665791121275
Whole_community_13,3.563954660052806,4.247279766235051
Full_community_32_Glucose,2.2670441036010636,3.404245602735319
