species,Bl.s_Ls_Ba,Ba_Eu.l_Eu.c,Mf_Bu_Im,Bfi_Col_Dl,Lsp_Mf_Bd,Bfi_Va_Dl,Dl_Mi_Ld,Ld_Va_Pm,Ba_Mf_Eu.l,Et_Rg_Pm_Vp,Vp_Rg_Bf_Bd,Va_Bu_Bfi_Ld,Pc_Ac_Vp_Bv,Bfi_Bl.s_Ao_Mi,Va_Pm_Eu.l_Bd,Eu.c_Bv_Dl_Pm,Af_Csp_As_Im,Va_Rg_Et_Ld,Csp_Cs_Vp_Va,Pm_As_Bv_Bfi,Pm_Mf_Ac_Col,Ba_Dl_Vp_Ac_Lsp,Ao_Ld_Cs_Bl.s_Bu,Ac_Mf_Va_Eu.l_Ba,Col_Vp_Dl_Ba_Mi,Bf_Im_Ai_Col_Ld,Bx_Af_Ai_Pm_Bd,Ao_Ld_Col_Ac_Im,Bt_Bd_dropout,Bd_dropout,Bt_dropout,Whole_community_13,Full_community_32_Glucose
Ai,,,,,,,,,,,,,,,,,,,,,,,,,,0.15443719139945197,0.1612962624577488,,0.08576956233225694,0.08548645251887807,0.08536094069683535,0.08526351385188675,0.07366853539286979
Ac,,,,,,,,,,,,,0.8137799464850517,,,,,,,,0.4400633228461561,0.5153914032012542,,0.2832495395253507,,,,0.682000808063529,,,,,0.17838606683235106
Bfi,,,,0.4160065359663169,,0.3863589485781481,,,,,,0.30549272019513474,,0.5238714869338946,,,,,,0.4271978812749827,,,,,,,,,,,,,0.00011365816373883487
Bf,,,,,,,,,,,0.14566922530103185,,,,,,,,,,,,,,,0.4501095594893244,,,,,,,0.00011365821110692746
Bt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006863163278719519,,0.004953469800205533,0.0001995648610731254
Bu,,,0.0387593298696053,,,,,,,,,0.31645982319106913,,,,,,,,,,,0.7943542571858583,,,,,,,,,,0.0001982168030016551
Bx,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3688541424389307,,,,,,0.00021437830991768587
Ba,0.38081529826336297,0.9999999995174185,,,,,,,0.12072670169920319,,,,,,,,,,,,,0.12129291502409197,,0.059025702439388296,0.16581307541279447,,,,,,,,0.022222224395168706
Csp,,,,,,,,,,,,,,,,,0.5791946228305815,,0.753267829408363,,,,,,,,,,0.21239832878839437,0.21180850563156914,0.21150069107160357,0.21130640844280246,0.09842819761575695
Dl,,,,0.5234872037682355,,0.4881176361413572,0.4195854442893233,,,,,,,,,0.5308726489461308,,,,,,0.20650377472687412,,,0.31526393243004786,,,,0.07614366148042125,0.07411814303608169,0.07402193484283866,0.07314701092174246,0.0436104603623352
Ls,0.619184701736637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.885807184018466e-05
Mf,,,0.5810048940926146,,0.7022994927800004,,,,0.5119969226267631,,,,,,,,,,,,0.42602427103271817,,,0.273559636661058,,,,,0.28395855833454803,0.2786865636657805,0.27831239124247525,0.27608908727236825,0.17065095286424692
Pm,,,,,,,,0.5785894526801852,,0.08585863446873053,,,,,0.061643891705109484,0.0526032397758317,,,,0.1256825664442749,0.014236066620953742,,,,,,0.10373439081777366,,,,,,1.956746203144241e-05
Bd,,,,,0.16588475623614873,,,,,,0.15951595258619994,,,,0.4216621664232544,,,,,,,,,,,,0.3661152042855467,,,,0.006787761686207804,0.004893533238425812,0.00019597194586367043
Bv,,,,,,,,,,,,,0.18622005351494825,,,0.41652409087135445,,,,0.4471195522807424,,,,,,,,,,,,,0.00019604695841390907
Rg,,,,,,,,,,0.8858080099985819,0.6948148221127682,,,,,,,0.9503017237994409,,,,,,,,,,,,,,,0.09190165955362646
Af,,,,,,,,,,,,,,,,,4.052298684285111e-24,,,,,,,,,,3.842920301864754e-24,,,,,,1.7551696856215717e-24
Ao,,,,,,,,,,,,,,2.4131568395017406e-24,,,,,,,,,3.9459953925840116e-24,,,,,3.604909933894834e-24,,,,,1.7551696856215717e-24
As,,,,,,,,,,,,,,,,,4.052298684285111e-24,,,4.594660636502473e-24,,,,,,,,,,,,,1.7551696856215717e-24
Bl.s,4.23319929181849e-24,,,,,,,,,,,,,2.4131568395017406e-24,,,,,,,,,3.9459953925840116e-24,,,,,,,,,,1.7551696856215717e-24
Col,,,,0.06050626026544774,,,,,,,,,,,,,,,,,0.11967633950017188,,,,3.5659339266842937e-16,3.692970342317808e-24,,1.1627482704205855e-23,,,,,1.7656360633280508e-22
Cs,,,,,,,,,,,,,,,,,,,0.11689260128022423,,,,0.20564574281414172,,,,,,0.006794580732079458,0.010223941580693494,0.010835615242070527,0.012231151553459114,0.048925393281922726
Et,,,,,,,,,,0.028333355532687562,,,,,,,,0.004563881472827885,,,,,,,,,,,,,,,1.761437818326541e-24
Eu.c,,4.825814950301767e-10,,,,,,,,,,,,,,2.0406683029450565e-08,,,,,,,,,,,,,4.086958856538417e-24,4.073468591835601e-24,4.067487881595593e-24,4.062845647506076e-24,3.52836136785091e-24
Eu.l,,0.0,,,,,,,0.3672763756740337,,,,,,0.3271206392827397,,,,,,,,,0.21988042548642597,,,,,0.0,0.0,0.0,0.0,0.0
Im,,,0.38023577603778014,,,,,,,,,,,,,,0.42080537716941857,,,,,,,,,0.3954532491112236,,0.31799919193647097,0.20456977494364953,0.20291825080243242,0.2025767821426098,0.20192111179914182,0.1476352436044272
Ld,,,,,,,1.2545369364263657e-22,0.21191067375819575,,,,0.17434519666496082,,,,,,2.5591477200698165e-13,,,,,1.487709072698526e-23,,,3.679714508813883e-24,,4.871460954278871e-24,,,,,1.7551697919553647e-24
Lsp,,,,,0.13181575098385095,,,,,,,,,,,,,,,,,0.15681190704777967,,,,,,,,,,,1.755169693953054e-24
Mi,,,,,,,0.5804145557106767,,,,,,,0.47612851306610543,,,,,,,,,,,0.5189229921571574,,,,2.0437028783216206e-24,2.0378358500122916e-24,2.0348016524442396e-24,2.0380503716995297e-24,2.266860033407173e-23
Pc,,,,,,,,,,,,,3.6026112587832974e-24,,,,,,,,,,,,,,,,,,,,1.7551696856215717e-24
