Species,Af,Ao,As,Bl.s,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Pc,Va,Vp,Full_Bt,Diluted_Bt
Af,0.006999999999999992,0.016000000000000004,0.0050000000000000044,0.008000000000000007,0.006000000000000005,0.0015000000000000013,0.0034999999999999892,0.0,0.01899999999999999,0.0,0.00033333333333333365,0.00633333333333333,0.005333333333333329,0.007000000000000006,0.012499999999999997,0.002999999999999989,0.010000000000000009,0.10400000000000001
Ao,0.0040000000000000036,0.01466666666666668,0.0040000000000000036,0.006500000000000006,0.006500000000000006,0.0020000000000000018,0.0040000000000000036,0.00033333333333333365,0.06899999999999999,0.0010000000000000009,0.0006666666666666673,0.003999999999999994,0.005666666666666671,0.0059999999999999915,0.0025000000000000022,0.004499999999999976,0.0,0.061
As,0.0034999999999999754,0.00366666666666667,0.00399999999999999,0.002999999999999989,0.0050000000000000044,0.0015000000000000013,0.00399999999999999,0.0006666666666666673,0.0025000000000000022,0.0030000000000000027,0.0006666666666666673,0.00366666666666667,0.006333333333333339,0.0050000000000000044,0.031499999999999986,0.003500000000000003,0.0,0.2204
Bl.s,0.09150000000000001,0.017000000000000005,0.06899999999999999,0.013000000000000012,0.185,0.010999999999999996,0.091,0.14166666666666664,0.0155,0.0165,0.021333333333333326,0.009666666666666665,0.007666666666666673,0.147,0.17300000000000001,0.22899999999999998,0.2036,0.08925000000000001
Col,0.05450000000000001,0.021,0.035,0.039999999999999994,0.02750000000000001,0.012999999999999984,0.007000000000000006,0.009666666666666657,0.00449999999999999,0.028999999999999998,0.027666666666666662,0.05933333333333333,0.008000000000000007,0.06250000000000001,0.3225,0.16799999999999998,0.1244,0.7516
Cs,0.0605,0.055999999999999994,0.0595,0.033,0.10750000000000003,0.009000000000000008,0.09649999999999999,0.007999999999999998,0.0675,0.1005,0.005666666666666671,0.008333333333333312,0.044000000000000004,0.066,0.04999999999999999,0.0775,0.023799999999999988,0.06979999999999999
Et,0.01100000000000001,0.008666666666666665,0.015999999999999986,0.007999999999999993,0.01050000000000001,0.0010000000000000009,0.0025000000000000022,0.001666666666666668,0.0005000000000000004,0.013499999999999998,0.005333333333333319,0.012999999999999992,0.008333333333333331,0.02700000000000001,0.022499999999999992,0.004999999999999977,0.015333333333333329,0.4332
Eu.c,0.44499999999999995,0.19133333333333333,0.35000000000000003,0.34950000000000003,0.48150000000000004,0.4215,0.46499999999999997,0.018,0.005500000000000005,0.4025,0.4206666666666667,0.496,0.155,0.74,0.42300000000000004,0.46749999999999997,0.35039999999999993,1.0244
Eu.l,0.3275,0.19466666666666665,0.34149999999999997,0.382,0.5674999999999999,0.6265000000000001,0.7224999999999999,0.20133333333333336,0.008499999999999994,0.37649999999999995,0.7210000000000001,0.5726666666666667,0.062,0.5705,0.8234999999999999,0.7,0.3854,0.9806000000000001
Im,0.013999999999999985,0.009666666666666657,0.016,0.026499999999999996,0.008500000000000008,0.008500000000000008,0.011999999999999983,0.016666666666666673,0.0034999999999999892,0.0010000000000000009,0.04033333333333333,0.016666666666666663,0.0069999999999999785,0.019000000000000003,0.014499999999999985,0.044999999999999984,0.026999999999999996,0.0
Ld,0.083,0.06633333333333334,0.07500000000000001,0.0040000000000000036,0.007999999999999993,0.003500000000000003,0.015,0.004666666666666662,0.0015000000000000013,0.007500000000000007,0.12866666666666668,0.005666666666666653,0.015666666666666662,0.101,0.1055,0.0615,0.1135,0.5936
Lsp,0.133,0.02666666666666666,0.128,0.08099999999999999,0.1,0.021999999999999992,0.27749999999999997,0.03933333333333333,0.013999999999999985,0.046,0.08466666666666667,0.003999999999999994,0.08600000000000001,0.2465,0.2785,0.21549999999999997,0.13319999999999999,0.166
Mi,0.491,0.3539999999999999,0.502,0.5195,0.49599999999999994,0.3135,0.511,0.017666666666666674,0.29400000000000004,0.38450000000000006,0.7706666666666667,0.5253333333333333,0.013999999999999993,0.6479999999999999,0.6515,0.4695,0.614,0.5801999999999999
Pc,0.003500000000000003,0.004333333333333328,0.006499999999999992,0.0030000000000000027,0.0034999999999999754,0.0015000000000000013,0.006999999999999992,0.0010000000000000009,0.0020000000000000018,0.006000000000000005,0.00033333333333333365,0.004999999999999995,0.00733333333333334,0.006500000000000006,0.012999999999999998,0.003999999999999976,0.0,0.30066666666666664
Va,0.1375,0.09833333333333331,0.1735,0.181,0.09700000000000002,0.0805,0.1275,0.131,0.156,0.09499999999999999,0.017666666666666653,0.14733333333333334,0.09000000000000001,0.11899999999999998,0.013999999999999999,0.14100000000000001,0.17020000000000002,0.042333333333333334
Vp,0.0030000000000000027,0.002666666666666669,0.005500000000000005,0.0050000000000000044,0.2725,0.0040000000000000036,0.001999999999999988,0.0006666666666666673,0.0040000000000000036,0.004500000000000004,0.00033333333333333365,0.010666666666666666,0.034999999999999996,0.004500000000000004,0.019000000000000003,0.0024999999999999883,0.0,0.024249999999999987
