"condition","focal_species","donor_species","observed_yield","resource_only_prediction","cofactor_prediction","is_ld","observed_plot","resource_only_plot","cofactor_plot"
"double_spent","Col","Cs",0.013,0.0556521093015738,0.0136390706672061,FALSE,0.013,0.0556521093015738,0.0136390706672061
"double_spent","Col","Et",0.00700000000000001,0.0556521093015738,0.0261115893296791,FALSE,0.00700000000000001,0.0556521093015738,0.0261115893296791
"double_spent","Col","Eu.c",0.00966666666666666,0.0556521093015738,0.00997149613401828,FALSE,0.00966666666666666,0.0556521093015738,0.00997149613401828
"double_spent","Col","Eu.l",0.00449999999999999,0.0556521093015738,0.00823519048512626,FALSE,0.00449999999999999,0.0556521093015738,0.00823519048512626
"double_spent","Col","Im",0.029,0.0556521093015738,0.0234916180045947,FALSE,0.029,0.0556521093015738,0.0234916180045947
"double_spent","Col","Ld",0.0276666666666667,0.0556521093015738,0.0174003712373526,FALSE,0.0276666666666667,0.0556521093015738,0.0174003712373526
"double_spent","Col","Lsp",0.0593333333333333,0.0556521093015738,0.0332065959905219,FALSE,0.0593333333333333,0.0556521093015738,0.0332065959905219
"double_spent","Col","Mi",0.00800000000000001,0.0556521093015738,0.0152750751552638,FALSE,0.00800000000000001,0.0556521093015738,0.0152750751552638
"double_spent","Col","Va",0.3225,0.0556521093015738,0.0556521093015738,FALSE,0.3225,0.0556521093015738,0.0556521093015738
"monoculture_full_bt","Col",NA,0.105,0.0556521093015738,0.0556521093015738,FALSE,0.105,0.0556521093015738,0.0556521093015738
"double_spent","Cs","Col",0.1075,0.0348570034707995,0.0348570034707995,FALSE,0.1075,0.0348570034707995,0.0348570034707995
"double_spent","Cs","Et",0.0965,0.0348570034707995,0.0348570034707995,FALSE,0.0965,0.0348570034707995,0.0348570034707995
"double_spent","Cs","Eu.c",0.008,0.0348570034707995,0.0174252618763768,FALSE,0.008,0.0348570034707995,0.0174252618763768
"double_spent","Cs","Eu.l",0.0675,0.0348570034707995,0.0143910551512539,FALSE,0.0675,0.0348570034707995,0.0143910551512539
"double_spent","Cs","Im",0.1005,0.0348570034707995,0.0348570034707995,FALSE,0.1005,0.0348570034707995,0.0348570034707995
"double_spent","Cs","Ld",0.00566666666666667,0.0348570034707995,0.0304072750449797,FALSE,0.00566666666666667,0.0348570034707995,0.0304072750449797
"double_spent","Cs","Lsp",0.00833333333333331,0.0348570034707995,0.0348570034707995,FALSE,0.00833333333333331,0.0348570034707995,0.0348570034707995
"double_spent","Cs","Mi",0.044,0.0348570034707995,0.0266933047141992,FALSE,0.044,0.0348570034707995,0.0266933047141992
"double_spent","Cs","Va",0.05,0.0348570034707995,0.0348570034707995,FALSE,0.05,0.0348570034707995,0.0348570034707995
"monoculture_full_bt","Cs",NA,0.018,0.0348570034707995,0.0348570034707995,FALSE,0.018,0.0348570034707995,0.0348570034707995
"double_spent","Et","Col",0.0105,0.0143196890014397,0.00722122457707627,FALSE,0.0105,0.0143196890014397,0.00722122457707627
"double_spent","Et","Cs",0.001,0.0143196890014397,0.00486787697435772,FALSE,0.001,0.0143196890014397,0.00486787697435772
"double_spent","Et","Eu.c",0.00166666666666667,0.0143196890014397,0.00355889470881581,FALSE,0.00166666666666667,0.0143196890014397,0.00355889470881581
"double_spent","Et","Eu.l",5e-04,0.0143196890014397,0.0029391954276169,FALSE,0.001,0.0143196890014397,0.0029391954276169
