data_group,condition,community_size,metric,actual_value,resource_only_prediction,cofactor_prediction
double_spent,Ld_in_Col_double_spent,,yield,0.0079999999999999,0.1087499533178089,0.007881815583408181
double_spent,Ld_in_Cs_double_spent,,yield,0.0035,0.1087499533178089,0.004893452599294114
double_spent,Ld_in_Et_double_spent,,yield,0.015,0.1087499533178089,0.008837907606984212
double_spent,Ld_in_Eu.c_double_spent,,yield,0.0046666666666666,0.1087499533178089,0.0036550691004399276
double_spent,Ld_in_Eu.l_double_spent,,yield,0.0015,0.1087499533178089,0.0029732183481464922
double_spent,Ld_in_Im_double_spent,,yield,0.0075,0.1087499533178089,0.009428698434534593
double_spent,Ld_in_Lsp_double_spent,,yield,0.0056666666666666,0.1087499533178089,0.010683317447897252
double_spent,Ld_in_Mi_double_spent,,yield,0.0156666666666666,0.1087499533178089,0.005645713262614915
double_spent,Ld_in_Va_double_spent,,yield,0.1055,0.1087499533178089,0.10835381770126692
pair,Af_Ld,2,relative_abundance,1.0,1.0,1.0
pair,As_Ld,2,relative_abundance,1.0,1.0,1.0
pair,Bl.s_Ld,2,relative_abundance,1.0,1.0,1.0
pair,Col_Ld,2,relative_abundance,0.3598868493224657,0.681827709702947,0.6818436736281941
pair,Cs_Ld,2,relative_abundance,0.0001261988894497,0.7137073063959786,0.1337356782978697
pair,Et_Ld,2,relative_abundance,0.0993699036323202,0.88241992941308,0.8824475925814946
pair,Eu.c_Ld,2,relative_abundance,0.0106329379087661,0.2102381929911495,0.2102342639174303
pair,Eu.l_Ld,2,relative_abundance,0.1616582877711457,0.2032983514932181,0.2032981584921885
pair,Im_Ld,2,relative_abundance,0.9826589595375724,0.878117330483977,0.8781141651800871
pair,Ld_Lsp,2,relative_abundance,0.1135813552508565,0.4750012986028019,0.4750011669612601
pair,Ld_Mi,2,relative_abundance,0.0190700422278888,0.1558697011541408,0.1558688943420242
pair,Ld_Pc,2,relative_abundance,1.0,1.0,1.0
pair,Ld_Va,2,relative_abundance,0.0092315452671558,0.4472965172975709,0.44729601024444
larger,Eu.c_Im_Ld,3,relative_abundance,0.0,0.2042073895141802,0.2042046008865744
larger,As_Cs_Eu.c_Ld_Mi,5,relative_abundance,0.0005828185103158,0.1469988630010494,1.4290250272006297e-08
larger,Af_dropout,15,relative_abundance,0.0,0.1010880800391085,3.9932554385249555e-21
larger,Ao_dropout,15,relative_abundance,0.0,0.1010880800391085,3.9932554385249555e-21
larger,As_dropout,15,relative_abundance,0.0,0.1010880800391085,3.9932554385249555e-21
larger,Bl.s_dropout,15,relative_abundance,3.3313345326137664e-05,0.1010880800391085,3.9932554385249555e-21
larger,Col_dropout,15,relative_abundance,0.0,0.1059407631950464,5.97716990048538e-21
larger,Cs_dropout,15,relative_abundance,0.0,0.1048968430161575,4.503748318478919e-16
larger,Et_dropout,15,relative_abundance,0.0,0.1021733832105362,4.079231638112055e-21
larger,Eu.c_dropout,15,relative_abundance,0.0,0.1016072526692549,4.0025356066962856e-21
larger,Eu.l_dropout,15,relative_abundance,0.0,0.1056348801902643,3.9885629424948785e-21
larger,Im_dropout,15,relative_abundance,8.221041381732848e-05,0.1021864568558466,8.259439791438206e-21
larger,Lsp_dropout,15,relative_abundance,0.0,0.1139009641631028,3.993325401231649e-21
larger,Mi_dropout,15,relative_abundance,0.0,0.1087940846309936,9.09028964974062e-20
larger,Pc_dropout,15,relative_abundance,0.0,0.1010880800391085,3.9932554385249555e-21
larger,Va_dropout,15,relative_abundance,0.0,0.1123534668591957,3.6887038045991384e-10
larger,Vp_dropout,15,relative_abundance,0.0,0.1010880800391085,3.9932554385249555e-21
larger,Full_community,16,relative_abundance,3.2831665484726724e-05,0.1010880803599764,3.9932554385249555e-21
