species,U_Ai,U_Ac,U_Bfi,U_Bf,U_Bt,U_Bu,U_Bx,U_Ba,U_Dl,U_Mf,U_Bd,U_Bv,S_mask_16896,S_mask_07681,S_mask_17916,S_mask_04607,S_mask_32253,S_mask_24575,F_All_Shared,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10,Resource_11,Resource_12,Resource_13,Resource_14,Resource_15,Resource_16,Resource_17
Af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bl.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Col,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066493397,3.066493397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.066493397
Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.214064343,0,8.214064343,0,0,0,0,0,0,0,0,0,8.214064343,0,8.214064343,0,0,8.214064343
Et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.67026861,0,0,11.67026861,0,0,0,0,0,0,0,0,11.67026861,0,0,0,0,11.67026861
Eu.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.890866255,0,0,0,0.890866255,0,0,0,0,0,0,0,0,0.890866255,0,0,0.890866255,0.890866255
Eu.l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.024379015,0,0,0,0,1.024379015,0,0,0,0,0,0,0,1.024379015,0,0,1.024379015,1.024379015
Im,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.461702653,0,0,0,0,0,8.461702653,0,0,0,0,0,0,0,0,0,0,8.461702653
Ld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.788906996,0,0,0,0,0,0,3.788906996,0,0,0,3.788906996,0,0,0,0,0,3.788906996
Lsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.817917342,0,0,0,0,0,0,0,3.817917342,0,0,0,0,0,3.817917342,0,0,3.817917342
Mi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8517508985,0,0,0,0,0,0,0,0,0.8517508985,0,0,0,0,0,0.8517508985,0.8517508985,0.8517508985
Pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.366459061,0,0,0,0,0,0,0,0,0,4.366459061,4.366459061,0,0,0,4.366459061,0,4.366459061
Vp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ai,8.108663437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac,0,1.232965488,0,0,0,0,0,0,0,0,0,0,0,1.232965488,0,1.232965488,1.232965488,1.232965488,1.232965488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bfi,0,0,1.567465512,0,0,0,0,0,0,0,0,0,0,0,1.567465512,1.567465512,1.567465512,1.567465512,1.567465512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bf,0,0,0,1.567465509,0,0,0,0,0,0,0,0,0,0,1.567465509,1.567465509,1.567465509,1.567465509,1.567465509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bt,0,0,0,0,1.563621023,0,0,0,0,0,0,0,0,0,1.563621023,1.563621023,1.563621023,1.563621023,1.563621023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bu,0,0,0,0,0,1.563667872,0,0,0,0,0,0,0,0,1.563667872,1.563667872,1.563667872,1.563667872,1.563667872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bx,0,0,0,0,0,0,1.563125163,0,0,0,0,0,0,0,1.563125163,1.563125163,1.563125163,1.563125163,1.563125163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ba,0,0,0,0,0,0,0,1.862450899,0,0,0,0,0,0,0,1.862450899,0,1.862450899,1.862450899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
