species,U_Ai,U_Ac,U_Bfi,U_Bf,U_Bt,U_Bu,U_Bx,U_Ba,U_Dl,U_Mf,U_Bd,U_Bv,S_mask_16896,S_mask_07681,S_mask_17916,S_mask_04607,S_mask_32253,S_mask_24575,F_All_Shared,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10,Resource_11,Resource_12,Resource_13,Resource_14,Resource_15,Resource_16,Resource_17
Af,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bl.s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eu.c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eu.l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Im,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Va,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813518029,0.05656496957,0.02259426606,0.1401002042,0.1644344979,0.02222094001,0.1572288482,0.1749355364,0.3372022448,0.1339804127,0,0,1.956871613e-10,0,0.05336907288,0.4551853628,0.006867754836
Ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1399194387,0.04587632103,0.02311063506,0.03215110483,0.1344499138,0.002976154907,0.005556631943,0.1291697826,0.1000418463,0.1654590634,0,0,1.956871613e-10,0,0.03605932846,0.04064755301,0.004245646712
Bfi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2259386176,0.004926945512,0.003561042532,0.1976016446,0.1165702183,0.02843553213,0.1801775067,0.08658235227,0.4762442811,0.1054086385,0,0,1.956871613e-10,0,0.04943154004,0.3786840422,0.005678907261
Bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1592973927,0.02809953368,0.02128371573,0.1532456619,0.1512775621,0.03814586586,0.1050619959,0.06775358105,0.3345687792,0.1161558425,0,0,1.956871613e-10,0,0.05012174503,0.4573797438,0.05549979392
Bt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813518029,0.05656496957,0.02259426606,0.1401002042,0.1644344979,0.02222094001,0.1572288482,0.1749355364,0.3372022448,0.1339804127,0,0,1.956871613e-10,0,0.05336907288,0.4551853628,0.006867754836
Bu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1309964139,0.1727178622,0.07905610189,0.1368225038,0.1904240045,0.003278350261,0.4462080018,0.2541486278,0.3361596488,0.306966654,0,0,1.956871613e-10,0,0.06327918432,0.6785294313,0.004956356402
Bx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1003645428,0.03500019754,0.02361615049,0.1361026387,0.174203257,0.01550030583,0.1161537005,0.09142769863,0.3668921359,0.1272329935,0,0,1.956871613e-10,0,0.05287436412,0.5517123408,0.005006754071
Ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06829405041,0.06506999158,0.02118844918,0.02791037986,0.2487770417,0.0176949547,0.004715928554,0.0664972765,0.4026729916,0.1180954326,0,0,1.95687147e-10,0,0.05166535453,0.04254700038,0.003080269594
Csp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05313671954,0.0615161976,0.7483700408,0.02288353658,0.02432929237,0.009244803878,0.02241950835,0.02332497867,0.03355964192,0.1125021734,0,0,1.956871613e-10,0,0.01660639718,0.01505287653,0.06991748657
