focal_species,Manual lag (used in model),Bt monoculture,Col,Cs,Et,Eu.c,Eu.l,Im,Ld,Lsp,Mi,Va
Col,5.8,8.687164591,NA,14.59855063,NA,4.3253039,NA,5.58016837,36.36830284,19.84824811,0.56241313,0
Cs,2.7,2.765855577,3.93778815,NA,6.43543575,NA,7.80088629,4.66659634,NA,0,16.55196657,11.01298401
Et,12,3.967833425,0,NA,NA,NA,NA,10.24495802,NA,14.46304067,0,10.08158582
Eu.c,11.9,8.739115454,7.63635535,6.9338794,10.06541513,NA,NA,8.99197516,10.71056606,8.5357494,16.39342383,5.82922852
Eu.l,13.8,12.4102672,14.03407667,4.21242449,12.37632508,11.05074931,NA,11.12481979,5.12654506,5.69653666,9.76023181,4.52923408
Im,0,14.38410386,NA,NA,0,5.16666667,NA,NA,19.21363721,4.22819744,NA,11.83863462
Ld,16,8.198694062,NA,NA,0,NA,NA,NA,NA,NA,0,0.2105837
Lsp,18,7.239345927,11.32726319,11.84426718,11.04921759,5.59797818,9.71702477,0,10.1684113,NA,12.05104224,0
Mi,8,12.7805418,10.83704035,13.9566645,14.38016504,3.41765685,18.67445179,10.06879112,10.58939097,12.90305324,NA,7.16641036
Va,1.4,1.419388048,4.07722539,3.99666878,6.625,3.75365226,1.52641779,5.88919797,1.32100087,4.51031835,4.93130774,NA
