species,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Resource_6,Resource_7,Resource_8,Resource_9,Resource_10,Resource_11,Resource_12,Resource_13,Resource_14,Resource_15,Resource_16,Resource_17
Af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
As,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Bl.s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Col,3.355054189744391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.355054189744391
Cs,0.0,10.308978703976921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.308978703976921,0.0,10.308978703976921,0.0,0.0,10.308978703976921
Et,0.0,0.0,16.127299192013552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.127299192013552,0.0,0.0,0.0,0.0,16.127299192013552
Eu.c,0.0,0.0,0.0,1.108290781975048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.108290781975048,0.0,0.0,1.108290781975048,1.108290781975048
Eu.l,0.0,0.0,0.0,0.0,0.9585890141579343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9585890141579343,0.0,0.0,0.9585890141579343,0.9585890141579343
Im,0.0,0.0,0.0,0.0,0.0,13.82291780781687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.82291780781687
Ld,0.0,0.0,0.0,0.0,0.0,0.0,3.7719191035246276,0.0,0.0,0.0,3.7719191035246276,0.0,0.0,0.0,0.0,0.0,3.7719191035246276
Lsp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.94662782889312,0.0,0.0,0.0,0.0,0.0,3.94662782889312,0.0,0.0,3.94662782889312
Mi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7978307959069125,0.0,0.0,0.0,0.0,0.0,0.7978307959069125,0.7978307959069125,0.7978307959069125
Pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Va,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.109756150530362,5.109756150530362,0.0,0.0,0.0,5.109756150530362,0.0,5.109756150530362
Vp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
