species,U_Ai,U_Ac,U_Bfi,U_Bf,U_Bt,U_Bu,U_Bx,U_Ba,U_Dl,U_Mf,U_Bd,U_Bv,S_mask_16896,S_mask_07681,S_mask_17916,S_mask_04607,S_mask_32253,S_mask_24575,F_All_Shared
Ai,8.108663436859038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ac,0.0,1.232965488420562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.232965488420562,0.0,1.232965488420562,1.232965488420562,1.232965488420562,1.232965488420562
Bfi,0.0,0.0,1.5674655116442824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5674655116442824,1.5674655116442824,1.5674655116442824,1.5674655116442824,1.5674655116442824
Bf,0.0,0.0,0.0,1.5674655088299243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5674655088299243,1.5674655088299243,1.5674655088299243,1.5674655088299243,1.5674655088299243
Bt,0.0,0.0,0.0,0.0,1.5636210225493525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5636210225493525,1.5636210225493525,1.5636210225493525,1.5636210225493525,1.5636210225493525
Bu,0.0,0.0,0.0,0.0,0.0,1.5636678721372692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5636678721372692,1.5636678721372692,1.5636678721372692,1.5636678721372692,1.5636678721372692
Bx,0.0,0.0,0.0,0.0,0.0,0.0,1.5631251634063361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5631251634063361,1.5631251634063361,1.5631251634063361,1.5631251634063361,1.5631251634063361
Ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8624508986346378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8624508986346378,0.0,1.8624508986346378,1.8624508986346378
Csp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4454302393357348,1.4454302393357348,0.0,0.0,0.0,1.4454302393357348,1.4454302393357348
Dl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5080874317590647,0.0,0.0,0.0,0.0,1.5080874317590647,1.5080874317590647,0.0,1.5080874317590647,1.5080874317590647,1.5080874317590647
Ls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6082136095997712,0.0,0.0,1.6082136095997712,1.6082136095997712,1.6082136095997712
Mf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243845834422966,0.0,0.0,0.0,1.243845834422966,0.0,1.243845834422966,1.243845834422966,1.243845834422966,1.243845834422966
Pm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.078928365072259,0.0,2.078928365072259
Bd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5637465663643513,0.0,0.0,0.0,1.5637465663643513,1.5637465663643513,1.5637465663643513,1.5637465663643513,1.5637465663643513
Bv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5637439229338228,0.0,0.0,1.5637439229338228,1.5637439229338228,1.5637439229338228,1.5637439229338228,1.5637439229338228
Rg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.270007205859248,0.0,1.270007205859248,0.0,1.270007205859248,1.270007205859248,1.270007205859248
